       x_coord        y_coord           Rho           Rho_Ref      %     Depth    Temp    Temp_Ref    Rho_cT     Rho_ref_cT  %_cT
      18.729017     2934.646280     1066.142340     1133.196350  -5.9 22.654 -3.445 20.454      494.556179         1202.73 -58.9
       8.732390     2943.985727     1483.643610     1783.942440 -16.8 17.514 -0.937 16.394      781.250720         1712.33 -54.4
      13.340243     2951.980563     2243.951610     2257.344090  -0.6 7.319 4.038 8.340     1460.706647         1712.22 -14.7
      19.657987     2933.513517     1038.245450     1071.068890  -3.1 23.086 -3.656 20.796      476.133883         1145.95 -58.5
      34.366747     2941.519303      508.192550      492.588560   3.2 7.981 3.715 8.863      326.709596         380.066 -14.0
      10.574743     2951.102187     2107.303780     2192.892560  -3.9 9.598 2.926 10.140     1313.180286          1762.0 -25.5
      22.011300     2947.518993     1331.419150     1344.741750  -1.0 8.281 3.569 9.100      851.071967         1045.54 -18.6
      20.004773     2946.818233     1509.063010     1549.352440  -2.6 9.782 2.836 10.286      936.995906         1250.54 -25.1
       0.363200     2942.958457     1454.921820     1699.636250 -14.4 25.142 -4.659 22.420      630.742031         1887.44 -66.6
      13.126763     2947.620140     1891.151380     2086.383280  -9.4 11.680 1.910 11.785     1130.446376         1762.22 -35.9
      26.892840     2942.055673      848.560390      796.226010   6.6 11.444 2.025 11.599      509.670093          668.81 -23.8
      14.229950     2947.551397     1913.578740     2062.777160  -7.2 11.749 1.877 11.839     1142.247597         1745.08 -34.5
      30.507033     2943.499180      671.209770      591.376280  13.5 7.601 3.901 8.563      434.621716         451.851  -3.8
       5.153000     2952.359040     2210.178730     2244.300250  -1.5 11.741 1.880 11.833     1319.499257         1898.31 -30.5
       4.322917     2951.893573     2149.609620     2213.329550  -2.9 12.206 1.653 12.201     1271.131898         1892.46 -32.8
      16.730837     2947.441093     1859.767100     1932.473900  -3.8 10.659 2.408 10.979     1134.850835         1593.25 -28.8
       5.827083     2941.582690     1336.040310     1625.826000 -17.8 21.717 -2.988 19.715      635.018153         1695.52 -62.5
      54.371767     2932.116007      394.551250      487.182720 -19.0 10.384 2.543 10.761      242.082921         399.019 -39.3
      36.762667     2937.910357      467.614280      401.106370  16.6 10.190 2.637 10.608      288.020601          326.98 -11.9
       9.386663     2953.760750     2401.654190     2313.122270   3.8 7.739 3.833 8.672     1551.062972          1773.7 -12.6
      22.700903     2947.556530     1251.762740     1257.937230  -0.5 7.443 3.978 8.438      812.944319         957.238 -15.1
      14.945220     2946.568847     1786.206560     1958.021840  -8.8 12.131 1.690 12.142     1057.880555         1671.25 -36.7
      11.847207     2934.775163     1093.240820     1296.139280 -15.7 25.225 -4.700 22.486      472.834080         1441.49 -67.2
      72.076170     2931.138513      608.974480      599.461910   1.6 7.461 3.969 8.453      395.358301         456.379 -13.4
       6.034293     2946.302793     1603.010920     1876.080840 -14.6 16.997 -0.685 15.986      854.218791         1781.61 -52.1
      63.675670     2931.625447      566.522400      518.043680   9.4 7.875 3.767 8.779      364.942626          398.62  -8.4
      47.005797     2936.616360      266.851900      303.407170 -12.0 7.484 3.958 8.470      173.173419         231.121 -25.1
       9.999517     2950.488933     2036.707660     2164.829420  -5.9 10.211 2.627 10.625     1253.949820         1765.67 -29.0
       0.836253     2950.980900     2069.778570     2168.667620  -4.6 15.619 -0.012 14.897     1137.750788         2000.44 -43.1
      13.327453     2951.249663     2205.628130     2242.316670  -1.6 8.050 3.681 8.918     1416.092313         1733.19 -18.3
      35.933310     2938.236270      482.759070      421.162950  14.6 10.464 2.504 10.824      295.734548          345.61 -14.4
      62.785293     2931.359873      565.760900      531.907640   6.4 8.140 3.638 8.989      362.619019         412.078 -12.0
       8.156063     2942.970503     1408.398950     1708.079130 -17.5 19.629 -1.969 18.065      705.283927         1710.87 -58.8
      58.083277     2933.354480      397.108800      433.753920  -8.4 7.646 3.879 8.598      256.919311           331.8 -22.6
      45.256087     2931.192803      430.835600      381.376630  13.0 13.907 0.823 13.545      245.827081         338.898 -27.5
      19.577963     2948.593860     1715.402110     1693.286300   1.3 8.006 3.703 8.883     1102.274582         1307.34 -15.7
      27.137847     2945.237553      811.405610      780.586720   3.9 7.562 3.920 8.532      525.781183         595.828 -11.8
      25.112657     2936.402253      965.983910      891.120330   8.4 17.898 -1.124 16.697      504.144447         862.097 -41.5
      11.894277     2932.990187     1060.975750     1240.734070 -14.5 27.010 -5.571 23.896      435.774635         1423.61 -69.4
      20.398657     2948.647943     1582.306820     1572.228330   0.6 7.952 3.729 8.840     1017.794904         1212.19 -16.0
       0.415747     2946.207237     1628.109800     1846.720250 -11.8 21.893 -3.074 19.853      770.353366         1932.28 -60.1
      28.247143     2942.912647      773.413400      709.240760   9.0 9.887 2.785 10.369      479.225677         573.935 -16.5
      38.936593     2934.325263      522.108570      388.041370  34.5 12.975 1.278 12.808      303.845321         337.674 -10.0
       2.378563     2952.172737     2205.426120     2258.774230  -2.4 12.727 1.399 12.613     1290.124208         1954.55 -34.0
      43.003673     2934.596207      394.811320      320.348140  23.2 10.904 2.289 11.172      239.738769         265.665  -9.8
      58.697787     2932.601947      423.867060      456.684720  -7.2 8.398 3.512 9.192      270.339739         356.128 -24.1
       4.855037     2956.239917     3045.579290     2923.892200   4.2 7.860 3.774 8.767     1962.440134         2249.02 -12.7
      26.425710     2941.260333      887.370780      837.138370   6.0 12.240 1.637 12.227      524.370447         716.325 -26.8
      29.920297     2943.417253      698.325620      619.221230  12.8 8.483 3.470 9.259      444.666126         483.912  -8.1
      24.890200     2946.487830      995.654010      994.173090   0.1 7.812 3.798 8.730      642.138568         763.764 -15.9
       7.093607     2955.044237     2724.930570     2523.307130   8.0 7.556 3.923 8.527     1765.944776         1925.73  -8.3
       4.842337     2946.379847     1609.381370     1868.580200 -13.9 17.720 -1.037 16.557      843.418829         1801.17 -53.2
      23.572353     2940.729307     1036.604550     1039.309200  -0.3 14.271 0.646 13.832      586.871009         931.009 -37.0
       4.025403     2941.596703     1346.297670     1627.287110 -17.3 22.503 -3.372 20.336      626.983755          1722.3 -63.6
      16.380893     2950.438713     2354.959050     2208.907060   6.6 7.661 3.871 8.610     1523.145726         1690.39  -9.9
      26.097090     2935.732677      934.872660      833.354630  12.2 17.767 -1.060 16.594      489.395105         804.066 -39.1
      43.360867     2932.741340      433.887560      351.693490  23.4 12.759 1.384 12.637      253.648175         304.543 -16.7
      12.181013     2950.671143     2130.207940     2211.939860  -3.7 9.329 3.058 9.928     1334.442960         1765.56 -24.4
      39.995997     2939.055033      436.981920      392.380360  11.4 7.645 3.879 8.598      282.719157         300.147  -5.8
      22.649897     2940.134697     1082.861800     1109.066500  -2.4 14.865 0.356 14.302      605.204085         1006.52 -39.9
      33.414383     2941.401937      547.160340      503.793620   8.6 8.098 3.658 8.955      350.977957         389.879 -10.0
       5.163547     2950.204620     1944.417990     2092.922910  -7.1 13.895 0.829 13.535     1109.730412         1859.32 -40.3
      53.534327     2931.869187      393.964820      485.234190 -18.8 10.631 2.422 10.956      240.536798         399.789 -39.8
      16.303380     2946.672013     1769.869150     1904.198570  -7.1 11.428 2.033 11.586     1063.387796         1598.87 -33.5
