       x_coord        y_coord           Rho           Rho_Ref      %     Depth    Temp    Temp_Ref    Rho_cT     Rho_ref_cT  %_cT
       7.093607     2955.044237     2615.024870     2523.307130   3.6 7.556 8.527 8.527     1995.716928         1925.73   3.6
       4.842337     2946.379847     1906.069400     1868.580200   2.0 17.720 15.988 16.557     1810.174441         1801.17   0.5
      23.572353     2940.729307     1037.436080     1039.309200  -0.2 14.271 13.456 13.832      919.575166         931.009  -1.2
       4.025403     2941.596703     1644.320820     1627.287110   1.0 22.503 19.498 20.336     1705.917605          1722.3  -1.0
      16.380893     2950.438713     2205.311550     2208.907060  -0.2 7.661 8.604 8.610     1687.304958         1690.39  -0.2
      26.097090     2935.732677      881.658120      833.354630   5.8 17.767 16.022 16.594      838.064755         804.066   4.2
      43.360867     2932.741340      346.960290      351.693490  -1.3 12.759 12.346 12.637      297.916177         304.543  -2.2
      12.181013     2950.671143     2278.729680     2211.939860   3.0 9.329 9.828 9.928     1813.206761         1765.56   2.7
      39.995997     2939.055033      436.050420      392.380360  11.1 7.645 8.592 8.598      333.495762         300.147  11.1
      22.649897     2940.134697     1115.116940     1109.066500   0.5 14.865 13.892 14.302     1000.598008         1006.52  -0.6
      33.414383     2941.401937      510.021570      503.793620   1.2 8.098 8.925 8.955      394.310126         389.879   1.1
       5.163547     2950.204620     2151.995230     2092.922910   2.8 13.895 13.180 13.535     1892.690830         1859.32   1.8
      53.534327     2931.869187      460.681450      485.234190  -5.1 10.631 10.784 10.956      377.574679         399.789  -5.6
      16.303380     2946.672013     1909.724390     1904.198570   0.3 11.428 11.369 11.586     1593.146469         1598.87  -0.4
      46.231010     2936.515407      272.314570      298.617540  -8.8 7.985 8.842 8.866      209.966036         230.427  -8.9
       0.145420     2941.174850     1620.873240     1615.857590   0.3 26.925 22.744 23.829     1813.110899         1851.32  -2.1
       8.734510     2949.183550     2166.862410     2092.722460   3.5 12.316 12.021 12.288     1842.985324         1793.88   2.7
      12.150177     2946.801293     2078.852030     2038.300310   2.0 13.199 12.669 12.985     1801.785071         1782.75   1.1
