       x_coord        y_coord           Rho           Rho_Ref      %     Depth    Temp    Temp_Ref    Rho_cT     Rho_ref_cT  %_cT
      18.729017     2934.646280     1111.371530     1133.196350  -1.9 22.654 4.046 20.454      723.676126         1202.73 -39.8
       8.732390     2943.985727     1588.168590     1783.942440 -11.0 17.514 4.540 16.394     1053.734952         1712.33 -38.5
      13.340243     2951.980563     2305.524920     2257.344090   2.1 7.319 5.518 8.340     1586.105024         1712.22  -7.4
      19.657987     2933.513517     1092.045250     1071.068890   2.0 23.086 4.005 20.796      709.957467         1145.95 -38.0
      34.366747     2941.519303      494.816020      492.588560   0.5 7.981 5.455 8.863      339.627504         380.066 -10.6
      10.574743     2951.102187     2263.293630     2192.892560   3.2 9.598 5.300 10.140     1544.675688          1762.0 -12.3
      22.011300     2947.518993     1213.847420     1344.741750  -9.7 8.281 5.426 9.100      832.275130         1045.54 -20.4
      20.004773     2946.818233     1388.825200     1549.352440 -10.4 9.782 5.282 10.286      947.246416         1250.54 -24.3
       0.363200     2942.958457     1497.973050     1699.636250 -11.9 25.142 3.807 22.420      966.469892         1887.44 -48.8
      13.126763     2947.620140     1951.333390     2086.383280  -6.5 11.680 5.100 11.785     1322.015210         1762.22 -25.0
      26.892840     2942.055673      899.850780      796.226010  13.0 11.444 5.122 11.599      610.151504          668.81  -8.8
      14.229950     2947.551397     1910.420290     2062.777160  -7.4 11.749 5.093 11.839     1293.981671         1745.08 -25.8
      30.507033     2943.499180      674.808930      591.376280  14.1 7.601 5.491 8.563      463.784696         451.851   2.6
       5.153000     2952.359040     2460.063640     2244.300250   9.6 11.741 5.094 11.833     1666.315778         1898.31 -12.2
       4.322917     2951.893573     2426.508900     2213.329550   9.6 12.206 5.049 12.201     1640.876877         1892.46 -13.3
      16.730837     2947.441093     1786.416230     1932.473900  -7.6 10.659 5.198 10.979     1214.662197         1593.25 -23.8
       5.827083     2941.582690     1405.834720     1625.826000 -13.5 21.717 4.136 19.715      918.577030         1695.52 -45.8
      54.371767     2932.116007      393.423170      487.182720 -19.2 10.384 5.224 10.761      267.765126         399.019 -32.9
      36.762667     2937.910357      465.146960      401.106370  16.0 10.190 5.243 10.608      316.797541          326.98  -3.1
       9.386663     2953.760750     2453.876140     2313.122270   6.1 7.739 5.478 8.672     1685.692062          1773.7  -5.0
      22.700903     2947.556530     1137.626630     1257.937230  -9.6 7.443 5.506 8.438      782.301042         957.238 -18.3
      14.945220     2946.568847     1743.264890     1958.021840 -11.0 12.131 5.056 12.142     1179.162061         1671.25 -29.4
      11.847207     2934.775163     1119.254020     1296.139280 -13.6 25.225 3.799 22.486      721.902273         1441.49 -49.9
      72.076170     2931.138513      549.193070      599.461910  -8.4 7.461 5.505 8.453      377.634704         456.379 -17.3
       6.034293     2946.302793     1780.856200     1876.080840  -5.1 16.997 4.589 15.986     1183.791351         1781.61 -33.6
      63.675670     2931.625447      526.505620      518.043680   1.6 7.875 5.465 8.779      361.512460          398.62  -9.3
      47.005797     2936.616360      249.965710      303.407170 -17.6 7.484 5.503 8.470      171.867478         231.121 -25.6
       9.999517     2950.488933     2222.057550     2164.829420   2.6 10.211 5.241 10.625     1513.262015         1765.67 -14.3
       0.836253     2950.980900     2337.875450     2168.667620   7.8 15.619 4.722 14.897     1561.792084         2000.44 -21.9
      13.327453     2951.249663     2299.364360     2242.316670   2.5 8.050 5.448 8.918     1577.833348         1733.19  -9.0
      35.933310     2938.236270      484.651620      421.162950  15.1 10.464 5.216 10.824      329.762767          345.61  -4.6
      62.785293     2931.359873      520.643650      531.907640  -2.1 8.140 5.440 8.989      357.155632         412.078 -13.3
       8.156063     2942.970503     1495.569680     1708.079130 -12.4 19.629 4.337 18.065      984.704104         1710.87 -42.4
      58.083277     2933.354480      370.985600      433.753920 -14.5 7.646 5.487 8.598      254.932291           331.8 -23.2
      45.256087     2931.192803      407.685730      381.376630   6.9 13.907 4.886 13.545      274.024996         338.898 -19.1
      19.577963     2948.593860     1667.463490     1693.286300  -1.5 8.006 5.452 8.883     1144.397226         1307.34 -12.5
      27.137847     2945.237553      812.227810      780.586720   4.1 7.562 5.495 8.532      558.305158         595.828  -6.3
      25.112657     2936.402253     1046.194830      891.120330  17.4 17.898 4.503 16.697      693.177595         862.097 -19.6
      11.894277     2932.990187     1086.401190     1240.734070 -12.4 27.010 3.628 23.896      696.058585         1423.61 -51.1
      20.398657     2948.647943     1516.626640     1572.228330  -3.5 7.952 5.458 8.840     1041.073214         1212.19 -14.1
       0.415747     2946.207237     1735.683990     1846.720250  -6.0 21.893 4.119 19.853     1133.370750         1932.28 -41.3
      28.247143     2942.912647      809.742060      709.240760  14.2 9.887 5.272 10.369      552.078320         573.935  -3.8
      38.936593     2934.325263      524.013480      388.041370  35.0 12.975 4.975 12.808      353.387114         337.674   4.7
       2.378563     2952.172737     2504.306020     2258.774230  10.9 12.727 4.999 12.613     1690.355171         1954.55 -13.5
      43.003673     2934.596207      377.129150      320.348140  17.7 10.904 5.174 11.172      256.204884         265.665  -3.6
      58.697787     2932.601947      390.915410      456.684720 -14.4 8.398 5.415 9.192      267.921546         356.128 -24.8
       4.855037     2956.239917     2975.841520     2923.892200   1.8 7.860 5.466 8.767     2043.393575         2249.02  -9.1
      26.425710     2941.260333      946.212670      837.138370  13.0 12.240 5.046 12.227      639.781427         716.325 -10.7
      29.920297     2943.417253      710.382960      619.221230  14.7 8.483 5.407 9.259      486.730503         483.912   0.6
      24.890200     2946.487830      949.759840      994.173090  -4.5 7.812 5.471 8.730      652.272021         763.764 -14.6
       7.093607     2955.044237     2692.342330     2523.307130   6.7 7.556 5.496 8.527     1850.692216         1925.73  -3.9
       4.842337     2946.379847     1785.724180     1868.580200  -4.4 17.720 4.520 16.557     1183.928880         1801.17 -34.3
      23.572353     2940.729307     1071.148210     1039.309200   3.1 14.271 4.851 13.832      719.035264         931.009 -22.8
       4.025403     2941.596703     1410.167040     1627.287110 -13.3 22.503 4.061 20.336      918.747679          1722.3 -46.7
      16.380893     2950.438713     2441.811550     2208.907060  10.5 7.661 5.486 8.610     1677.861176         1690.39  -0.7
      26.097090     2935.732677     1019.278610      833.354630  22.3 17.767 4.515 16.594      675.662759         804.066 -16.0
      43.360867     2932.741340      413.098030      351.693490  17.5 12.759 4.996 12.637      278.801565         304.543  -8.5
      12.181013     2950.671143     2246.032180     2211.939860   1.5 9.329 5.325 9.928     1534.344728         1765.56 -13.1
      39.995997     2939.055033      421.184740      392.380360   7.3 7.645 5.487 8.598      289.428480         300.147  -3.6
      22.649897     2940.134697     1110.426620     1109.066500   0.1 14.865 4.794 14.302      743.817233         1006.52 -26.1
      33.414383     2941.401937      542.190240      503.793620   7.6 8.098 5.444 8.955      371.991084         389.879  -4.6
       5.163547     2950.204620     2216.707670     2092.922910   5.9 13.895 4.887 13.535     1490.017669         1859.32 -19.9
      53.534327     2931.869187      396.501130      485.234190 -18.3 10.631 5.200 10.956      269.625120         399.789 -32.6
      16.303380     2946.672013     1694.795520     1904.198570 -11.0 11.428 5.124 11.586     1149.237034         1598.87 -28.1
      46.231010     2936.515407      262.718030      298.617540 -12.0 7.985 5.454 8.866      180.319653         230.427 -21.7
       0.145420     2941.174850     1381.437000     1615.857590 -14.5 26.925 3.636 23.829      885.369091         1851.32 -52.2
       8.734510     2949.183550     2115.271870     2092.722460   1.1 12.316 5.039 12.288     1429.850667         1793.88 -20.3
      12.150177     2946.801293     1885.122180     2038.300310  -7.5 13.199 4.954 12.985     1270.285830         1782.75 -28.7
      45.050677     2934.654497      314.578490      304.093210   3.4 10.446 5.218 10.810      214.056733         249.432 -14.2
      32.628753     2932.296457      831.207050      601.933480  38.1 17.904 4.502 16.702      550.721519         582.398  -5.4
      62.212123     2932.119427      506.038860      509.035940  -0.6 7.981 5.455 8.863      347.330689         392.755 -11.6
      26.450480     2945.236563      861.297650      840.807740   2.4 8.263 5.428 9.086      590.585511         653.436  -9.6
       3.055707     2949.385143     2110.950660     2031.549090   3.9 15.515 4.732 14.815     1410.725592         1869.77 -24.6
      42.217100     2932.190977      462.532730      375.865920  23.1 13.909 4.886 13.546      310.888250         334.014  -6.9
      48.822927     2933.783597      325.310100      364.363170 -10.7 9.816 5.279 10.313      221.850287         294.341 -24.6
       2.450733     2955.869123     3124.841740     2891.615090   8.1 9.031 5.354 9.692     2136.925642         2291.05  -6.7
      14.544007     2940.167377     1260.022540     1474.916390 -14.6 19.133 4.384 17.673      831.119132         1462.85 -43.2
      54.631210     2932.970147      395.632160      477.475730 -17.1 9.130 5.345 9.771      270.459404         379.242 -28.7
      49.778270     2935.802087      338.484040      388.277000 -12.8 7.798 5.472 8.718      232.474210         298.181 -22.0
       5.252543     2955.654540     2848.922530     2724.504330   4.6 8.445 5.410 9.230     1952.240809         2127.15  -8.2
       6.381113     2955.066860     2733.831000     2568.288910   6.4 8.233 5.431 9.062     1874.766744         1994.42  -6.0
      20.177020     2945.944563     1325.281510     1501.365770 -11.7 10.655 5.198 10.976      901.127654         1237.72 -27.2
      40.543327     2938.455863      430.809850      372.943020  15.5 8.244 5.430 9.071      295.423125         289.692   2.0
      59.554510     2932.939967      420.338630      463.438740  -9.3 7.660 5.486 8.609      288.831853          354.64 -18.6
       5.240143     2948.944323     2084.140770     2025.115890   2.9 15.156 4.766 14.531     1394.605433         1849.49 -24.6
      31.338573     2931.861600      902.303620      666.560020  35.4 19.238 4.374 17.756      594.936323           662.5 -10.2
      43.555290     2933.854253      380.483620      330.502460  15.1 11.646 5.103 11.758      257.806237         278.929  -7.6
       0.676630     2949.933250     2167.103480     2076.996260   4.3 18.167 4.477 16.910     1434.459242         2020.38 -29.0
      25.313500     2945.911507      915.081790      929.315740  -1.5 8.388 5.416 9.185      627.190254         724.516 -13.4
      11.946630     2945.643243     1729.245280     1929.399580 -10.4 14.357 4.843 13.900     1160.442348         1731.63 -33.0
      22.894647     2936.001457     1095.008150     1012.320660   8.2 18.999 4.397 17.567      722.626924         1001.36 -27.8
      42.188537     2934.578793      410.057200      331.431440  23.7 11.521 5.115 11.660      277.967124         278.897  -0.3
      11.508157     2951.118740     2263.449180     2207.592990   2.5 9.581 5.301 10.127     1544.871772         1773.09 -12.9
      49.740693     2933.546573      365.978740      406.905830 -10.1 10.053 5.256 10.500      249.376709         330.613 -24.6
      19.157473     2949.346583     1863.938610     1782.562490   4.6 7.953 5.457 8.841     1279.475964         1374.41  -6.9
       4.184283     2948.489583     2022.728610     1987.529630   1.8 15.610 4.722 14.890     1351.303844         1833.01 -26.3
      52.572237     2935.156597      548.647560      551.182420  -0.5 7.843 5.468 8.754      376.756710         423.781 -11.1
      20.467190     2940.174507     1172.449070     1251.268540  -6.3 16.425 4.644 15.534      780.972657         1174.13 -33.5
       4.261000     2950.860983     2297.912370     2133.490090   7.7 13.239 4.950 13.017     1548.221368          1867.7 -17.1
      23.795007     2935.444570     1070.258460      944.727910  13.3 19.555 4.344 18.007      704.863467         944.888 -25.4
      11.717420     2941.352490     1358.543400     1601.246990 -15.2 18.648 4.431 17.290      897.685857         1572.81 -42.9
      33.147823     2939.823163      557.378970      486.815600  14.5 9.677 5.292 10.203      380.299966         391.919  -3.0
      31.354613     2938.217920      709.214460      554.804330  27.8 12.882 4.984 12.735      478.441689         481.776  -0.7
