       x_coord        y_coord           Rho           Rho_Ref      %     Depth    Temp    Temp_Ref    Rho_cT     Rho_ref_cT  %_cT
      18.729017     2934.646280     1189.757780     1133.196350   5.0 22.654 -19.273 20.454       81.120961         1202.73 -93.3
       8.732390     2943.985727     1792.740820     1783.942440   0.5 17.514 -12.663 16.394      418.454393         1712.33 -75.6
      13.340243     2951.980563     2233.846890     2257.344090  -1.0 7.319 0.447 8.340     1253.590363         1712.22 -26.8
      19.657987     2933.513517     1164.179350     1071.068890   8.7 23.086 -19.829 20.796       63.179326         1145.95 -94.5
      34.366747     2941.519303      537.070160      492.588560   9.0 7.981 -0.403 8.863      289.975222         380.066 -23.7
      10.574743     2951.102187     2403.110370     2192.892560   9.6 9.598 -2.483 10.140     1172.550238          1762.0 -33.5
      22.011300     2947.518993     1047.119100     1344.741750 -22.1 8.281 -0.789 9.100      555.251229         1045.54 -46.9
      20.004773     2946.818233     1332.102280     1549.352440 -14.0 9.782 -2.719 10.286      642.094808         1250.54 -48.7
       0.363200     2942.958457     1648.169560     1699.636250  -3.0 25.142 -22.472 22.420      -19.449694         1887.44 -101.0
      13.126763     2947.620140     2122.361820     2086.383280   1.7 11.680 -5.160 11.785      893.498265         1762.22 -49.3
      26.892840     2942.055673      794.619510      796.226010  -0.2 11.444 -4.857 11.599      340.545976          668.81 -49.1
      14.229950     2947.551397     2072.317980     2062.777160   0.5 11.749 -5.249 11.839      867.850160         1745.08 -50.3
      30.507033     2943.499180      638.231230      591.376280   7.9 7.601 0.085 8.563      352.388905         451.851 -22.0
       5.153000     2952.359040     2680.545860     2244.300250  19.4 11.741 -5.239 11.833     1123.223950         1898.31 -40.8
       4.322917     2951.893573     2554.151020     2213.329550  15.4 12.206 -5.837 12.201     1032.038716         1892.46 -45.5
      16.730837     2947.441093     1902.619400     1932.473900  -1.5 10.659 -3.847 10.979      863.439296         1593.25 -45.8
       5.827083     2941.582690     1602.259460     1625.826000  -1.4 21.717 -18.068 19.715      157.483426         1695.52 -90.7
      54.371767     2932.116007      368.473960      487.182720 -24.4 10.384 -3.494 10.761      170.476156         399.019 -57.3
      36.762667     2937.910357      536.918300      401.106370  33.9 10.190 -3.244 10.608      251.762553          326.98 -23.0
       9.386663     2953.760750     2771.102570     2313.122270  19.8 7.739 -0.093 8.672     1517.685969          1773.7 -14.4
      22.700903     2947.556530      925.576000     1257.937230 -26.4 7.443 0.288 8.438      515.723914         957.238 -46.1
      14.945220     2946.568847     1904.813570     1958.021840  -2.7 12.131 -5.741 12.142      774.274998         1671.25 -53.7
      11.847207     2934.775163     1287.242000     1296.139280  -0.7 25.225 -22.579 22.486      -18.637547         1441.49 -101.3
      72.076170     2931.138513      639.338360      599.461910   6.7 7.461 0.265 8.453      355.864148         456.379 -22.0
       6.034293     2946.302793     1954.741610     1876.080840   4.2 16.997 -11.998 15.986      488.763002         1781.61 -72.6
      63.675670     2931.625447      589.531240      518.043680  13.8 7.875 -0.267 8.779      320.311818          398.62 -19.6
      47.005797     2936.616360      290.486880      303.407170  -4.3 7.484 0.236 8.470      161.481928         231.121 -30.1
       9.999517     2950.488933     2403.099030     2164.829420  11.0 10.211 -3.271 10.625     1125.164966         1765.67 -36.3
       0.836253     2950.980900     2247.343850     2168.667620   3.6 15.619 -10.226 14.897      661.496308         2000.44 -66.9
      13.327453     2951.249663     2292.498180     2242.316670   2.2 8.050 -0.493 8.918     1232.634167         1733.19 -28.9
      35.933310     2938.236270      565.435280      421.162950  34.3 10.464 -3.596 10.824      260.151695          345.61 -24.7
      62.785293     2931.359873      580.060960      531.907640   9.1 8.140 -0.608 8.989      310.213634         412.078 -24.7
       8.156063     2942.970503     1698.704880     1708.079130  -0.5 19.629 -15.384 18.065      280.985417         1710.87 -83.6
      58.083277     2933.354480      400.426580      433.753920  -7.7 7.646 0.028 8.598      220.513513           331.8 -33.5
      45.256087     2931.192803      398.977570      381.376630   4.6 13.907 -8.025 13.545      139.396197         338.898 -58.9
      19.577963     2948.593860     1680.182490     1693.286300  -0.8 8.006 -0.436 8.883      905.790677         1307.34 -30.7
      27.137847     2945.237553      738.291890      780.586720  -5.4 7.562 0.135 8.532      408.546590         595.828 -31.4
      25.112657     2936.402253     1039.563540      891.120330  16.7 17.898 -13.157 16.697      229.834328         862.097 -73.3
      11.894277     2932.990187     1247.850530     1240.734070   0.6 27.010 -24.875 23.896      -89.677625         1423.61 -106.3
      20.398657     2948.647943     1478.505470     1572.228330  -6.0 7.952 -0.366 8.840      799.636874         1212.19 -34.0
       0.415747     2946.207237     1823.185810     1846.720250  -1.3 21.893 -18.294 19.853      168.913636         1932.28 -91.3
      28.247143     2942.912647      737.563670      709.240760   4.0 9.887 -2.855 10.369      353.013856         573.935 -38.5
      38.936593     2934.325263      547.526270      388.041370  41.1 12.975 -6.826 12.808      207.710736         337.674 -38.5
       2.378563     2952.172737     2462.908150     2258.774230   9.0 12.727 -6.507 12.613      953.929662         1954.55 -51.2
      43.003673     2934.596207      394.448550      320.348140  23.1 10.904 -4.162 11.172      175.901562         265.665 -33.8
      58.697787     2932.601947      423.408040      456.684720  -7.3 8.398 -0.940 9.192      222.925409         356.128 -37.4
