       x_coord        y_coord           Rho           Rho_Ref      %     Depth    Temp    Temp_Ref    Rho_cT     Rho_ref_cT  %_cT
      18.729017     2934.646280     1168.354230     1133.196350   3.1 22.654 -3.786 20.454      532.016248         1202.73 -55.8
       8.732390     2943.985727     1374.689070     1783.942440 -22.9 17.514 -1.185 16.394      715.346001         1712.33 -58.2
      13.340243     2951.980563     2113.436610     2257.344090  -6.4 7.319 3.973 8.340     1372.326420         1712.22 -19.9
      19.657987     2933.513517     1137.440300     1071.068890   6.2 23.086 -4.005 20.796      511.712556         1145.95 -55.3
      34.366747     2941.519303      416.548510      492.588560 -15.4 7.981 3.639 8.863      266.994739         380.066 -29.8
      10.574743     2951.102187     1980.627670     2192.892560  -9.7 9.598 2.821 10.140     1229.004419          1762.0 -30.2
      22.011300     2947.518993     1553.251500     1344.741750  15.5 8.281 3.487 9.100      989.685589         1045.54  -5.3
      20.004773     2946.818233     1715.336100     1549.352440  10.7 9.782 2.727 10.286     1060.396052         1250.54 -15.2
       0.363200     2942.958457     1459.146380     1699.636250 -14.1 25.142 -5.045 22.420      618.509208         1887.44 -67.2
      13.126763     2947.620140     1596.966450     2086.383280 -23.5 11.680 1.767 11.785      948.877043         1762.22 -46.2
      26.892840     2942.055673     1087.494880      796.226010  36.6 11.444 1.886 11.599      649.402121          668.81  -2.9
      14.229950     2947.551397     1620.613000     2062.777160 -21.4 11.749 1.732 11.839      961.517933         1745.08 -44.9
      30.507033     2943.499180      673.482410      591.376280  13.9 7.601 3.831 8.563      434.917821         451.851  -3.7
       5.153000     2952.359040     2345.857120     2244.300250   4.5 11.741 1.736 11.833     1392.035774         1898.31 -26.7
       4.322917     2951.893573     2308.769850     2213.329550   4.3 12.206 1.501 12.201     1356.433722         1892.46 -28.3
      16.730837     2947.441093     1720.082640     1932.473900 -11.0 10.659 2.284 10.979     1044.244552         1593.25 -34.5
       5.827083     2941.582690     1285.691370     1625.826000 -20.9 21.717 -3.312 19.715      600.676112         1695.52 -64.6
      54.371767     2932.116007      454.582180      487.182720  -6.7 10.384 2.423 10.761      277.553066         399.019 -30.4
      36.762667     2937.910357      452.081050      401.106370  12.7 10.190 2.521 10.608      277.137412          326.98 -15.2
       9.386663     2953.760750     2365.733990     2313.122270   2.3 7.739 3.761 8.672     1523.588141          1773.7 -14.1
      22.700903     2947.556530     1435.213230     1257.937230  14.1 7.443 3.911 8.438      929.680983         957.238  -2.9
      14.945220     2946.568847     1561.815630     1958.021840 -20.2 12.131 1.539 12.142      919.075121         1671.25 -45.0
      11.847207     2934.775163     1090.252170     1296.139280 -15.9 25.225 -5.087 22.486      460.991996         1441.49 -68.0
      72.076170     2931.138513      602.182300      599.461910   0.5 7.461 3.901 8.453      389.935409         456.379 -14.6
       6.034293     2946.302793     1566.312890     1876.080840 -16.5 16.997 -0.924 15.986      825.306249         1781.61 -53.7
      63.675670     2931.625447      621.458740      518.043680  20.0 7.875 3.692 8.779      399.170314          398.62   0.1
