       x_coord        y_coord           Rho           Rho_Ref      %     Depth    Temp    Temp_Ref    Rho_cT     Rho_ref_cT  %_cT
      18.729017     2934.646280     1032.083550     1133.196350  -8.9 22.654 8.140 20.454      777.670427         1202.73 -35.3
       8.732390     2943.985727     1592.468820     1783.942440 -10.7 17.514 7.544 16.394     1176.183555         1712.33 -31.3
      13.340243     2951.980563     2379.648660     2257.344090   5.4 7.319 6.361 8.340     1687.233539         1712.22  -1.5
      19.657987     2933.513517     1001.039440     1071.068890  -6.5 23.086 8.190 20.796      755.535141         1145.95 -34.1
      34.366747     2941.519303      571.763260      492.588560  16.1 7.981 6.438 8.863      406.491643         380.066   7.0
      10.574743     2951.102187     2198.489160     2192.892560   0.3 9.598 6.625 10.140     1573.312702          1762.0 -10.7
      22.011300     2947.518993     1228.635370     1344.741750  -8.6 8.281 6.473 9.100      874.560923         1045.54 -16.4
      20.004773     2946.818233     1431.582640     1549.352440  -7.6 9.782 6.647 10.286     1025.252328         1250.54 -18.0
       0.363200     2942.958457     1599.223470     1699.636250  -5.9 25.142 8.428 22.420     1216.545733         1887.44 -35.5
      13.126763     2947.620140     2025.869050     2086.383280  -2.9 11.680 6.867 11.785     1462.011982         1762.22 -17.0
      26.892840     2942.055673      769.009160      796.226010  -3.4 11.444 6.840 11.599      554.446736          668.81 -17.1
      14.229950     2947.551397     2022.999520     2062.777160  -1.9 11.749 6.875 11.839     1460.344420         1745.08 -16.3
      30.507033     2943.499180      622.356320      591.376280   5.2 7.601 6.394 8.563      441.774861         451.851  -2.2
       5.153000     2952.359040     2259.421360     2244.300250   0.7 11.741 6.874 11.833     1630.960377         1898.31 -14.1
       4.322917     2951.893573     2250.696340     2213.329550   1.7 12.206 6.928 12.201     1627.700334         1892.46 -14.0
      16.730837     2947.441093     1907.111090     1932.473900  -1.3 10.659 6.748 10.979     1370.661255         1593.25 -14.0
       5.827083     2941.582690     1443.356930     1625.826000 -11.2 21.717 8.031 19.715     1083.643562         1695.52 -36.1
      54.371767     2932.116007      436.510330      487.182720 -10.4 10.384 6.717 10.761      313.376664         399.019 -21.5
      36.762667     2937.910357      497.125830      401.106370  23.9 10.190 6.694 10.608      356.613163          326.98   9.1
       9.386663     2953.760750     2250.825090     2313.122270  -2.7 7.739 6.410 8.672     1598.634515          1773.7  -9.9
      22.700903     2947.556530     1143.727380     1257.937230  -9.1 7.443 6.375 8.438      811.344212         957.238 -15.2
      14.945220     2946.568847     1843.536480     1958.021840  -5.8 12.131 6.919 12.142     1332.840483         1671.25 -20.2
      11.847207     2934.775163     1126.236100     1296.139280 -13.1 25.225 8.438 22.486      857.011420         1441.49 -40.5
      72.076170     2931.138513      629.291690      599.461910   5.0 7.461 6.378 8.453      446.443606         456.379  -2.2
       6.034293     2946.302793     1753.157820     1876.080840  -6.6 16.997 7.484 15.986     1292.238205         1781.61 -27.5
      63.675670     2931.625447      506.906870      518.043680  -2.1 7.875 6.425 8.779      360.226350          398.62  -9.6
      47.005797     2936.616360      254.722530      303.407170 -16.0 7.484 6.380 8.470      180.726275         231.121 -21.8
       9.999517     2950.488933     2142.380810     2164.829420  -1.0 10.211 6.696 10.625     1536.969755         1765.67 -13.0
       0.836253     2950.980900     2270.636780     2168.667620   4.7 15.619 7.324 14.897     1664.593095         2000.44 -16.8
      13.327453     2951.249663     2375.826780     2242.316670   6.0 8.050 6.446 8.918     1689.559537         1733.19  -2.5
      35.933310     2938.236270      518.689600      421.162950  23.2 10.464 6.726 10.824      372.494211          345.61   7.8
      62.785293     2931.359873      510.928710      531.907640  -3.9 8.140 6.456 8.989      363.477912         412.078 -11.8
       8.156063     2942.970503     1509.895050     1708.079130 -11.6 19.629 7.789 18.065     1124.457182         1710.87 -34.3
      58.083277     2933.354480      387.417300      433.753920 -10.7 7.646 6.399 8.598      275.055420           331.8 -17.1
      45.256087     2931.192803      342.906570      381.376630 -10.1 13.907 7.125 13.545      249.680825         338.898 -26.3
      19.577963     2948.593860     1720.397700     1693.286300   1.6 8.006 6.441 8.883     1223.233313         1307.34  -6.4
      27.137847     2945.237553      718.550540      780.586720  -7.9 7.562 6.389 8.532      509.977629         595.828 -14.4
      25.112657     2936.402253      898.081850      891.120330   0.8 17.898 7.588 16.697      664.314136         862.097 -22.9
      11.894277     2932.990187     1093.794890     1240.734070 -11.8 27.010 8.645 23.896      837.987161         1423.61 -41.1
      20.398657     2948.647943     1546.494040     1572.228330  -1.6 7.952 6.434 8.840     1099.342169         1212.19  -9.3
       0.415747     2946.207237     1801.429640     1846.720250  -2.5 21.893 8.052 19.853     1353.393994         1932.28 -30.0
      28.247143     2942.912647      693.518940      709.240760  -2.2 9.887 6.659 10.369      496.887775         573.935 -13.4
      38.936593     2934.325263      444.567090      388.041370  14.6 12.975 7.017 12.808      322.500812         337.674  -4.5
       2.378563     2952.172737     2361.187970     2258.774230   4.5 12.727 6.988 12.613     1711.174110         1954.55 -12.5
      43.003673     2934.596207      321.255820      320.348140   0.3 10.904 6.777 11.172      231.118160         265.665 -13.0
      58.697787     2932.601947      407.151080      456.684720 -10.8 8.398 6.486 9.192      289.954393         356.128 -18.6
       4.855037     2956.239917     2875.132050     2923.892200  -1.7 7.860 6.424 8.767     2043.052140         2249.02  -9.2
      26.425710     2941.260333      810.127640      837.138370  -3.2 12.240 6.932 12.227      585.961229         716.325 -18.2
      29.920297     2943.417253      634.663860      619.221230   2.5 8.483 6.496 9.259      452.134478         483.912  -6.6
      24.890200     2946.487830      900.593660      994.173090  -9.4 7.812 6.418 8.730      639.831489         763.764 -16.2
       7.093607     2955.044237     2449.560330     2523.307130  -2.9 7.556 6.388 8.527     1738.481548         1925.73  -9.7
       4.842337     2946.379847     1768.618510     1868.580200  -5.3 17.720 7.568 16.557     1307.342131         1801.17 -27.4
      23.572353     2940.729307      950.171860     1039.309200  -8.6 14.271 7.167 13.832      692.850980         931.009 -25.6
       4.025403     2941.596703     1465.066000     1627.287110 -10.0 22.503 8.122 20.336     1103.281703          1722.3 -35.9
      16.380893     2950.438713     2533.560520     2208.907060  14.7 7.661 6.401 8.610     1798.872775         1690.39   6.4
      26.097090     2935.732677      866.968870      833.354630   4.0 17.767 7.573 16.594      640.971850         804.066 -20.3
      43.360867     2932.741340      338.324540      351.693490  -3.8 12.759 6.992 12.637      245.217635         304.543 -19.5
      12.181013     2950.671143     2284.948540     2211.939860   3.3 9.329 6.594 9.928     1633.403743         1765.56  -7.5
      39.995997     2939.055033      473.989730      392.380360  20.8 7.645 6.399 8.598      336.518658         300.147  12.1
      22.649897     2940.134697     1000.876780     1109.066500  -9.8 14.865 7.236 14.302      731.550118         1006.52 -27.3
      33.414383     2941.401937      591.720330      503.793620  17.5 8.098 6.451 8.955      420.881400         389.879   8.0
