       x_coord        y_coord           Rho           Rho_Ref      %     Depth    Temp    Temp_Ref    Rho_cT     Rho_ref_cT  %_cT
       7.093607     2955.044237     2804.092740     2523.307130  11.1 7.556 8.101 8.527     2110.120372         1925.73   9.6
       4.842337     2946.379847     2038.162360     1868.580200   9.1 17.720 14.768 16.557     1873.500005         1801.17   4.0
      23.572353     2940.729307      983.355850     1039.309200  -5.4 14.271 12.506 13.832      848.281371         931.009  -8.9
       4.025403     2941.596703     1743.360830     1627.287110   7.1 22.503 17.906 20.336     1739.270721          1722.3   1.0
      16.380893     2950.438713     1984.123480     2208.907060 -10.2 7.661 8.170 8.610     1496.515324         1690.39 -11.5
      26.097090     2935.732677      901.391730      833.354630   8.2 17.767 14.799 16.594      829.265943         804.066   3.1
      43.360867     2932.741340      343.127490      351.693490  -2.4 12.759 11.514 12.637      287.486600         304.543  -5.6
      12.181013     2950.671143     2106.227620     2211.939860  -4.8 9.329 9.264 9.928     1646.213163         1765.56  -6.8
      39.995997     2939.055033      422.857910      392.380360   7.8 7.645 8.159 8.598      318.825311         300.147   6.2
      22.649897     2940.134697     1082.183280     1109.066500  -2.4 14.865 12.896 14.302      944.086811         1006.52  -6.2
      33.414383     2941.401937      553.498610      503.793620   9.9 8.098 8.456 8.955      421.438374         389.879   8.1
       5.163547     2950.204620     2301.749230     2092.922910  10.0 13.895 12.259 13.535     1971.411695         1859.32   6.0
      53.534327     2931.869187      472.813090      485.234190  -2.6 10.631 10.118 10.956      379.643033         399.789  -5.0
      16.303380     2946.672013     1844.285100     1904.198570  -3.1 11.428 10.641 11.586     1504.971505         1598.87  -5.9
      46.231010     2936.515407      262.037240      298.617540 -12.2 7.985 8.382 8.866      199.029673         230.427 -13.6
       0.145420     2941.174850     1656.904240     1615.857590   2.5 26.925 20.807 23.829     1773.172941         1851.32  -4.2
       8.734510     2949.183550     2338.358890     2092.722460  11.7 12.316 11.224 12.288     1942.216797         1793.88   8.3
      12.150177     2946.801293     2111.196460     2038.300310   3.6 13.199 11.802 12.985     1784.084929         1782.75   0.1
      45.050677     2934.654497      277.515290      304.093210  -8.7 10.446 9.996 10.810      221.986197         249.432 -11.0
      32.628753     2932.296457      702.313840      601.933480  16.7 17.904 14.889 16.702      647.686450         582.398  11.2
      62.212123     2932.119427      462.883960      509.035940  -9.1 7.981 8.379 8.863      351.551737         392.755 -10.5
      26.450480     2945.236563      729.469120      840.807740 -13.2 8.263 8.565 9.086      557.402170         653.436 -14.7
       3.055707     2949.385143     2144.492790     2031.549090   5.6 15.515 13.322 14.815     1893.680498         1869.77   1.3
      42.217100     2932.190977      378.422390      375.865920   0.7 13.909 12.268 13.546      324.197445         334.014  -2.9
      48.822927     2933.783597      335.315390      364.363170  -8.0 9.816 9.584 10.313      264.761327         294.341 -10.0
       2.450733     2955.869123     2572.400020     2891.615090 -11.0 9.031 9.068 9.692     1997.999353         2291.05 -12.8
      14.544007     2940.167377     1587.196360     1474.916390   7.6 19.133 15.695 17.673     1495.733979         1462.85   2.2
      54.631210     2932.970147      468.276380      477.475730  -1.9 9.130 9.133 9.771      364.473338         379.242  -3.9
      49.778270     2935.802087      346.741450      388.277000 -10.7 7.798 8.259 8.718      262.304959         298.181 -12.0
       5.252543     2955.654540     2749.295130     2724.504330   0.9 8.445 8.684 9.230     2108.999392         2127.15  -0.9
       6.381113     2955.066860     2761.111330     2568.288910   7.5 8.233 8.545 9.062     2108.449347         1994.42   5.7
      20.177020     2945.944563     1476.836070     1501.365770  -1.6 10.655 10.134 10.976     1186.414913         1237.72  -4.1
      40.543327     2938.455863      394.638470      372.943020   5.8 8.244 8.552 9.071      301.426359         289.692   4.1
      59.554510     2932.939967      413.942760      463.438740 -10.7 7.660 8.169 8.609      312.205772          354.64 -12.0
       5.240143     2948.944323     2234.699640     2025.115890  10.3 15.156 13.086 14.531     1960.173467         1849.49   6.0
      31.338573     2931.861600      776.200080      666.560020  16.4 19.238 15.764 17.756      732.817960           662.5  10.6
      43.555290     2933.854253      316.273350      330.502460  -4.3 11.646 10.784 11.758      259.214527         278.929  -7.1
