    P+   P-        C+   C-  Normalised_Error  Observed_Rho_a  Calculated_Rho_a  Original_Weight  Final_Weight    C
    2    8         4    6       -0.06115          729.75512      728.51883         0.24768E+01    0.24768E+01    0
    2   20         8   14        2.42928          119.35832      167.69797         0.28554E+02    0.69084E+01    1
    2   23         9   16       -0.40747          164.12619      163.70184         0.74853E+03    0.15224E+03    1
    2   26        10   18       -0.14034          156.15221      150.18371         0.42153E+01    0.42153E+01    0
    2   31        13   24       -0.35483           46.35915       44.06372         0.24466E+02    0.24466E+02    0
    2   34        14   26        1.48559           -0.93507        9.81573         0.39800E+02    0.24371E+02    1
    2   37        15   28        0.57661           23.51495       32.83450         0.12190E+02    0.12190E+02    0
    3    6         4    5       -0.08970          747.31480      745.18701         0.96935E+00    0.89855E+00    1
    3    9         5    7        0.04153          500.07847      500.64672         0.31031E+01    0.31031E+01    0
    3   12         6    9       -0.14193          179.15078      177.14511         0.44151E+01    0.44151E+01    0
    3   15         7   11       -1.94469           11.60660      -44.27831         0.67675E+01    0.30546E+01    1
    3   18         8   13        0.61953           46.90961       50.73333         0.19713E+02    0.17921E+02    1
    3   21         9   15       -0.21346           43.41492       43.22958         0.65854E+03    0.15255E+03    1
    3   24        10   17        0.09456           27.38551       31.25139         0.37711E+01    0.37711E+01    0
    3   27        11   19        0.13348           40.86902       41.33606         0.52753E+02    0.49589E+02    1
    3   29        13   23       -0.28890            9.99588        9.54702         0.16074E+03    0.87826E+02    1
    3   32        14   25       -0.72938           10.81973        8.64338         0.64168E+02    0.52134E+02    1
    4    7         5    6       -0.00575         1137.09815     1136.97773         0.11274E+01    0.11274E+01    0
    4   10         6    8       -0.10573          149.54072      148.20126         0.35571E+01    0.32858E+01    1
    4   13         7   10        0.67711          -74.60028      -69.62500         0.95007E+01    0.88702E+01    1
    4   16         8   12       -1.09273           -2.20706      -11.59405         0.19164E+02    0.10399E+02    1
    4   19         9   14       -0.25541           46.57721       45.54333         0.29689E+02    0.27231E+02    1
    4   22        10   16       -0.67495           13.92309       13.34998         0.10000E+04    0.15574E+03    1
    4   28        12   20       -0.69474           16.28456       14.94875         0.10964E+03    0.88736E+02    1
    4   30        14   24       -0.74209            8.38775        3.70705         0.21314E+02    0.21314E+02    0
    4   33        15   26       -0.56080          -18.99987      -19.28048         0.56304E+03    0.30837E+03    1
    4   36        16   28       -0.33404          -12.71601      -22.79603         0.57714E+01    0.57714E+01    0
    4   45        19   30       -2.12453           43.54762       39.89411         0.86739E+03    0.21081E+03    1
    5    8         6    7        0.02885          888.06335      888.50789         0.13305E+01    0.13305E+01    0
    5   14         8   11       -2.30233            4.47417      -95.01020         0.53501E+01    0.15277E+01    1
    5   17         9   13       -0.63720          108.30376      102.24254         0.17580E+02    0.92653E+01    1
    5   20        10   15       -0.20199            0.71048        0.45760         0.18939E+03    0.87856E+02    1
    5   23        11   17       -0.85685           38.39332        8.37476         0.37415E+01    0.37415E+01    0
    5   26        12   19       -0.63799            2.14912        1.61092         0.18403E+03    0.17911E+03    1
    5   31        15   25       -0.93511           11.44608        8.75613         0.74093E+02    0.46807E+02    1
    5   34        16   27       -1.49798           -9.88732      -31.98676         0.10377E+02    0.10377E+02    0
    5   43        19   29        1.09220           21.93870       29.18452         0.51962E+02    0.51962E+02    0
    5   46        20   31        3.87450            4.26345       28.06040         0.10000E+04    0.59063E+02    1
    6    9         7    8       -0.04633          602.90392      602.15394         0.14116E+01    0.14116E+01    0
    6   15         9   12        1.48947           83.71561      109.23184         0.12368E+02    0.39254E+01    1
    6   18        10   14        0.95408           63.21691       73.11714         0.20324E+02    0.85360E+01    1
    6   24        12   18        0.75191           -2.95249       21.69124         0.39621E+01    0.39621E+01    0
    6   27        13   20       -1.60916          -23.73925      -25.35320         0.53634E+03    0.14968E+03    1
    6   29        15   24       -0.01115            6.85952        6.76247         0.13030E+02    0.13030E+02    0
    6   32        16   26       -0.13572           -9.91555      -11.62526         0.10555E+02    0.10555E+02    0
    6   44        20   30        2.11791           23.19126       38.61474         0.77318E+02    0.47520E+02    1
    6   47        21   32        1.85807           19.50287       40.85601         0.61503E+02    0.31728E+02    1
    7   16        10   13       -0.76902          237.63942      232.77133         0.10547E+02    0.10292E+02    1
    7   22        12   17       -0.08278           30.11216       27.60911         0.35503E+01    0.35503E+01    0
    7   25        13   19        1.25735          -33.47634      -27.83704         0.87169E+02    0.28648E+02    1
    7   28        14   21        0.27533            2.00307        2.74018         0.74465E+02    0.55054E+02    1
    7   30        16   25        0.01581           22.74146       22.93369         0.92369E+01    0.92369E+01    0
    7   33        17   27       -3.39322           46.81111       17.10294         0.61629E+02    0.15086E+02    1
    7   42        20   29       -0.22602           44.53967       42.07182         0.29859E+02    0.29859E+02    0
    7   45        21   31       -4.37309           63.61875       46.41064         0.10000E+04    0.87366E+02    1
    7   48        22   33        0.02796           30.67250       30.83294         0.63540E+02    0.63540E+02    0
    8   14        10   12        0.29254           68.22909       70.84272         0.53196E+01    0.48699E+01    1
    8   20        12   16       -0.69126           45.23653       44.05493         0.49471E+02    0.49471E+02    0
    8   26        14   20       -0.11949          -31.01770      -31.17703         0.95515E+02    0.95515E+02    0
    8   31        17   26       -2.92609           14.80222        3.03122         0.56904E+02    0.27649E+02    1
    8   43        21   30        1.47318           18.77918       33.09736         0.76154E+02    0.33753E+02    1
    9   18        12   15       -0.56827          107.60255      106.00450         0.22495E+02    0.22495E+02    0
    9   21        13   17       -0.04838          -21.42976      -22.64683         0.34039E+01    0.34039E+01    0
    9   24        14   19       -0.63796          -53.46274      -54.09139         0.15282E+03    0.10895E+03    1
    9   27        15   21       -1.60823            1.38148      -10.77172         0.48185E+02    0.16781E+02    1
    9   29        17   25        1.09326           12.20163       16.43596         0.29332E+02    0.23508E+02    1
    9   32        18   27       -2.51307           72.48082       25.41383         0.12224E+02    0.59071E+01    1
    9   41        21   29        1.33789            7.04225       27.36813         0.29769E+02    0.20272E+02    1
    9   44        22   31        1.71385           12.49500       21.79380         0.72808E+02    0.60468E+02    1
    9   47        23   33        1.82807           19.45588       32.40849         0.78397E+02    0.48840E+02    1
   10   16        12   14       -0.89351          221.92963      216.96183         0.76948E+01    0.75806E+01    1
   10   19        13   16       -0.31791           29.17010       28.30728         0.23297E+02    0.23297E+02    0
   10   25        15   20        0.48838          -22.98956      -20.42869         0.20257E+02    0.20257E+02    0
   10   28        16   22       -0.54256           -4.82210      -20.07260         0.44720E+01    0.44720E+01    0
   10   30        18   26       -2.63002           50.66202       -0.38387         0.11578E+02    0.45993E+01    1
   10   33        19   28       -0.03576           10.75779       10.44109         0.12477E+02    0.12477E+02    0
   10   42        22   30       -3.34691           19.11603       15.59791         0.74554E+03    0.29712E+03    1
   10   48        24   34       -2.30709           34.24400       18.66613         0.78793E+02    0.51678E+02    1
   11   14        12   13       -0.13510          581.19582      579.99273         0.23082E+01    0.23082E+01    0
   11   17        13   15       -0.15635          109.13803      108.43108         0.94256E+01    0.94256E+01    0
   11   20        14   17       -1.21784           39.29145       -0.88917         0.29360E+01    0.19503E+01    1
   11   23        15   19       -2.70168           23.96551      -28.06701         0.17213E+02    0.45022E+01    1
