    P+   P-        C+   C-  Normalised_Error  Observed_Rho_a  Calculated_Rho_a  Original_Weight  Final_Weight    C
    2    8         4    6        0.02059          874.30804      874.57542         0.38554E+01    0.38554E+01    0
    2   20         8   14        1.27076          160.45730      188.97272         0.63142E+01    0.61261E+01    1
    2   23         9   16       -1.49438          173.87095      162.09775         0.30328E+02    0.20124E+02    1
    2   26        10   18        1.06929          105.67563      161.93018         0.34075E+01    0.34075E+01    0
    2   31        13   24       -1.26165           46.19446       35.58935         0.19268E+02    0.18829E+02    1
    2   34        14   26        1.56348            2.85427       18.21419         0.23899E+02    0.17952E+02    1
    2   37        15   28        0.65465           19.22273       38.65181         0.66384E+01    0.66384E+01    0
    3    6         4    5       -0.20927          945.55234      943.24044         0.19293E+01    0.19293E+01    0
    3    9         5    7        0.22807          652.72596      654.26702         0.66809E+01    0.62841E+01    1
    3   12         6    9       -0.53807          307.75564      306.16604         0.21119E+02    0.21119E+02    0
    3   15         7   11       -1.59800          112.66847       81.47942         0.10622E+02    0.44976E+01    1
    3   18         8   13        1.59337          111.98743      141.72896         0.89780E+01    0.59255E+01    1
    3   21         9   15        0.24957           70.98212       73.65274         0.12378E+02    0.12378E+02    0
    3   24        10   17        1.74180           59.26281       91.40595         0.15139E+02    0.83544E+01    1
    3   27        11   19       -0.20288           84.20345       80.08802         0.85539E+01    0.85539E+01    0
    3   29        13   23       -1.13882           14.85999       10.59195         0.36410E+02    0.36410E+02    0
    3   32        14   25        0.49778           19.01117       20.55944         0.50013E+02    0.50013E+02    0
    4    7         5    6       -0.06935         1440.92378     1440.12034         0.20672E+01    0.20372E+01    1
    4   10         6    8       -0.38224          383.89041      381.66824         0.71601E+01    0.71601E+01    0
    4   13         7   10       -0.30801           69.65537       69.25349         0.65363E+02    0.49953E+02    1
    4   16         8   12       -0.03490          112.31772      112.26961         0.64812E+02    0.64812E+02    0
    4   19         9   14       -1.05349           89.20023       88.58845         0.68122E+03    0.18981E+03    1
    4   22        10   16       -0.84137           42.41245       40.15509         0.51394E+02    0.49290E+02    1
    4   28        12   20       -0.04651           26.26255       25.93958         0.24568E+02    0.24568E+02    0
    4   30        14   24       -1.69483           14.64384       -1.54832         0.41316E+02    0.14071E+02    1
    4   33        15   26        1.74694          -14.22694        2.77354         0.24642E+02    0.15856E+02    1
    4   36        16   28        0.31541          -11.85083       -2.61104         0.59453E+01    0.59453E+01    0
    4   45        19   30       -1.58869           26.29840       11.66738         0.69361E+02    0.39365E+02    1
    5    8         6    7       -0.00340         1174.21677     1174.19717         0.35548E+01    0.35548E+01    0
    5   14         8   11       -2.02038          152.16856      112.60038         0.17083E+02    0.33706E+01    1
    5   17         9   13       -0.95853          171.03230      170.35502         0.36341E+03    0.12473E+03    1
    5   20        10   15        1.26805           32.46838       46.98959         0.98786E+01    0.96048E+01    1
    5   23        11   17       -1.76675           75.23418       51.65022         0.20392E+02    0.98194E+01    1
    5   26        12   19        0.35190           20.19293       22.33054         0.24874E+02    0.24874E+02    0
    5   31        15   25        0.89715           20.27228       21.42204         0.10507E+03    0.10507E+03    0
    5   34        16   27       -0.83303           -4.38048       -4.94240         0.44534E+03    0.22696E+03    1
    5   43        19   29       -0.35300            9.26492        4.24299         0.24231E+02    0.24231E+02    0
    5   46        20   31        1.46639          -11.22865        4.36785         0.40567E+02    0.34107E+02    1
    6    9         7    8       -0.19891          877.49896      875.86561         0.27829E+01    0.27829E+01    0
    6   15         9   12        1.71451          196.17422      236.48886         0.17979E+02    0.28598E+01    1
    6   18        10   14        1.29949           94.19970      118.97601         0.85859E+01    0.46457E+01    1
    6   24        12   18        0.86333           19.77729       46.03516         0.42696E+01    0.42696E+01    0
    6   27        13   20       -0.24847          -21.21632      -24.34418         0.11926E+02    0.11926E+02    0
    6   29        15   24       -1.23506           11.30379       -0.94704         0.11459E+02    0.11439E+02    1
    6   32        16   26        1.11779          -10.24163       -1.09088         0.16243E+02    0.16243E+02    0
    6   44        20   30       -1.26415            5.40331        4.25179         0.39162E+03    0.37991E+03    1
    6   47        21   32        0.61491            2.58857        2.81278         0.10000E+04    0.10000E+04    0
    7   16        10   13       -0.65151          310.80773      308.59412         0.19176E+02    0.19176E+02    0
    7   22        12   17       -0.04157           58.10914       57.41616         0.64396E+01    0.64396E+01    0
    7   25        13   19        1.67726          -12.05243       12.18268         0.18853E+02    0.88923E+01    1
    7   28        14   21       -1.00895           16.38887       13.42843         0.74013E+02    0.50232E+02    1
    7   30        16   25       -0.52800           33.96110       31.93252         0.29240E+02    0.29240E+02    0
    7   33        17   27       -1.73184           42.27583       30.07554         0.31317E+02    0.18749E+02    1
    7   42        20   29        1.19419           14.74198       15.93857         0.32537E+03    0.32537E+03    0
    7   45        21   31       -1.68544           16.37726        6.61952         0.14639E+03    0.59381E+02    1
    7   48        22   33       -0.58383           25.22281       20.86474         0.48851E+02    0.48851E+02    0
    8   14        10   12        0.58408          232.00108      236.62560         0.12163E+02    0.54953E+01    1
    8   20        12   16       -0.05828           57.92444       57.60451         0.15404E+02    0.15404E+02    0
    8   26        14   20       -0.33190          -17.40387      -19.10726         0.24818E+02    0.24818E+02    0
