    P+   P-        C+   C-  Normalised_Error  Observed_Rho_a  Calculated_Rho_a  Original_Weight  Final_Weight    C
    2    8         4    6       -0.29175          303.11747      295.84553         0.20090E+01    0.20090E+01    0
    2   20         8   14       -0.01742           -4.99044       -6.66903         0.14264E+01    0.14264E+01    0
    2   23         9   16       -0.07175           -2.18325       -3.14157         0.11871E+02    0.11871E+02    0
    2   26        10   18       -2.65710          155.32414      -32.52705         0.36432E+02    0.25357E+01    1
    2   31        13   24       -1.56753          -11.26621      -14.13705         0.12502E+03    0.86418E+02    1
    2   34        14   26        0.01325          -14.07475      -13.88848         0.12547E+02    0.12547E+02    0
    2   37        15   28        0.85902            1.30603       14.06726         0.13262E+02    0.13262E+02    0
    3    6         4    5       -0.14972         1060.37922     1055.49171         0.65293E+00    0.65293E+00    0
    3    9         5    7        0.33907          255.47314      261.65164         0.23303E+01    0.23303E+01    0
    3   12         6    9       -0.14338         -218.84242     -219.80889         0.92558E+01    0.92558E+01    0
    3   15         7   11       -1.40744         -337.44265     -359.62334         0.64775E+01    0.55700E+01    1
    3   18         8   13        2.05329         -370.00212     -192.85894         0.35138E+01    0.12820E+01    1
    3   21         9   15       -1.24400         -111.50979     -113.52870         0.83891E+02    0.81616E+02    1
    3   24        10   17        1.55815         -157.95225     -149.19198         0.46651E+02    0.27422E+02    1
    3   27        11   19        0.89608         -139.05441      -99.81110         0.39620E+01    0.39620E+01    0
    3   29        13   23        0.76683          -33.78634      -31.75626         0.51544E+02    0.51544E+02    0
    3   32        14   25       -0.23046          -26.51544      -30.56946         0.88430E+01    0.88430E+01    0
    4    7         5    6       -0.40097         1806.58049     1791.40906         0.62379E+00    0.62379E+00    0
    4   10         6    8        0.11405         -202.66133     -200.98709         0.28356E+01    0.28356E+01    0
    4   13         7   10        1.30123         -367.48609     -349.26916         0.50058E+01    0.46555E+01    1
    4   16         8   12        0.57369         -289.70556     -285.52954         0.12273E+02    0.12273E+02    0
    4   19         9   14       -0.54478         -150.42941     -154.75847         0.13871E+02    0.13871E+02    0
    4   22        10   16       -1.44691         -226.09750     -234.20083         0.28231E+02    0.23613E+02    1
    4   28        12   20        0.27419          -74.22657      -72.70262         0.30697E+02    0.30697E+02    0
    4   30        14   24       -1.52408          -34.81667      -44.96351         0.26131E+02    0.20193E+02    1
    4   33        15   26        1.28957          -39.54541      -34.95727         0.46212E+02    0.43370E+02    1
    4   36        16   28        0.05451          -22.68442      -19.82890         0.33244E+01    0.33244E+01    0
    4   45        19   30       -0.24475           52.15918       47.08070         0.17472E+02    0.17472E+02    0
    5    8         6    7       -0.16570         1269.61523     1265.63652         0.85368E+00    0.85368E+00    0
    5   14         8   11       -1.05812         -365.58170     -379.34997         0.50732E+01    0.50732E+01    0
    5   17         9   13       -1.07023         -195.66106     -203.34128         0.12281E+02    0.12281E+02    0
    5   20        10   15        0.00660         -244.37514     -243.86181         0.14140E+01    0.14140E+01    0
    5   23        11   17       -1.96770         -121.11946     -155.82998         0.22875E+02    0.74306E+01    1
    5   26        12   19        0.57682         -112.07398      -92.86428         0.45371E+01    0.45371E+01    0
    5   31        15   25        1.62083          -72.14308      -65.89973         0.74018E+02    0.34956E+02    1
    5   34        16   27        0.08437          -42.23414      -40.95427         0.10092E+02    0.10092E+02    0
    5   43        19   29       -0.02669           44.20581       43.96725         0.38566E+02    0.38566E+02    0
    5   46        20   31        1.85419           43.37310       64.83631         0.75896E+02    0.31339E+02    1
    6    9         7    8        0.13140         1090.30124     1094.14136         0.78196E+00    0.78196E+00    0
    6   15         9   12        1.64246         -365.54561     -318.28986         0.54593E+01    0.23372E+01    1
    6   18        10   14        0.80964         -294.19679     -275.70304         0.38778E+01    0.38778E+01    0
    6   24        12   18        1.77064         -116.34494      -97.58312         0.28257E+02    0.12255E+02    1
    6   27        13   20       -1.55309          -62.00935      -63.59687         0.28843E+03    0.14687E+03    1
    6   29        15   24       -0.19423          -39.47502      -40.30459         0.26566E+02    0.26566E+02    0
    6   32        16   26       -0.21777           -9.39835      -11.14780         0.16552E+02    0.16552E+02    0
    6   44        20   30        1.22355           66.66150       70.45789         0.11276E+03    0.11153E+03    1
    6   47        21   32       -0.34182           68.19276       67.19593         0.12503E+03    0.12503E+03    0
    7   16        10   13       -0.02759         -213.28916     -213.48698         0.90870E+01    0.90870E+01    0
    7   22        12   17       -1.98457          -41.59272     -115.81523         0.70163E+01    0.28704E+01    1
    7   25        13   19        0.45853         -102.66596      -87.51619         0.38889E+01    0.38889E+01    0
