    P+   P-        C+   C-  Normalised_Error  Observed_Rho_a  Calculated_Rho_a  Original_Weight  Final_Weight    C
    2    8         4    6       -0.28448          850.08705      846.68855         0.41918E+01    0.41918E+01    0
    2   20         8   14        0.51689          177.71274      195.62992         0.39658E+01    0.39658E+01    0
    2   23         9   16       -2.27195          186.09888      147.64376         0.52051E+02    0.93668E+01    1
    2   26        10   18        0.18222          114.36090      124.62247         0.31834E+01    0.31834E+01    0
    2   31        13   24       -0.64146           46.92836       34.76801         0.83488E+01    0.83488E+01    0
    2   34        14   26        2.33050          -13.29701        2.72195         0.11404E+03    0.25658E+02    1
    2   37        15   28        0.32656           22.65851       29.90973         0.88727E+01    0.88727E+01    0
    3    6         4    5       -0.43911         1014.48020     1008.37247         0.15323E+01    0.15323E+01    0
    3    9         5    7       -0.07379          604.40010      603.64476         0.49209E+01    0.41481E+01    1
    3   12         6    9       -0.89622          262.28490      253.11228         0.60960E+01    0.60960E+01    0
    3   15         7   11       -1.52212          129.74531       86.91219         0.36712E+01    0.31194E+01    1
    3   18         8   13        0.92023          107.74158      120.87611         0.77492E+01    0.77492E+01    0
    3   21         9   15       -0.20668           63.89698       62.00364         0.14459E+02    0.14459E+02    0
    3   24        10   17        2.35564           23.74244       35.66557         0.60930E+02    0.30460E+02    1
    3   27        11   19       -0.63034           61.32215       31.09158         0.36180E+01    0.36180E+01    0
    3   29        13   23        0.01434            8.43585        8.56143         0.15583E+02    0.15583E+02    0
    3   32        14   25       -0.54265           11.82878        9.15484         0.31569E+02    0.31569E+02    0
    4    7         5    6       -0.35579         1423.14618     1418.74502         0.19080E+01    0.19080E+01    0
    4   10         6    8       -0.17141          264.23423      262.95140         0.55621E+01    0.55621E+01    0
    4   13         7   10        0.94186           22.52181       29.72412         0.10129E+02    0.85232E+01    1
    4   16         8   12        0.35014           67.38540       67.80012         0.91185E+02    0.75425E+02    1
    4   19         9   14        0.25277           74.93243       75.64714         0.38984E+02    0.38984E+02    0
    4   22        10   16       -1.75179           24.33867        4.96256         0.18291E+02    0.11956E+02    1
    4   28        12   20       -0.36400           21.10634       16.84548         0.14576E+02    0.14576E+02    0
    4   30        14   24       -1.33141            7.45509       -0.13865         0.23846E+02    0.23571E+02    1
    4   33        15   26        1.79852          -25.09585      -12.51359         0.28754E+02    0.22056E+02    1
    4   36        16   28        0.21111          -11.66082       -5.81660         0.62912E+01    0.62912E+01    0
    4   45        19   30       -1.32829           42.52786       20.78014         0.22653E+02    0.22142E+02    1
    5    8         6    7        0.03451         1111.12779     1111.48967         0.19550E+01    0.19550E+01    0
    5   14         8   11       -1.47505           79.49394       55.30583         0.56353E+01    0.40256E+01    1
