    P+   P-        C+   C-  Normalised_Error  Observed_Rho_a  Calculated_Rho_a  Original_Weight  Final_Weight    C
    2    8         4    6       -0.26845         1007.10892     1003.34669         0.35731E+01    0.35731E+01    0
    2   20         8   14        1.12291          211.98272      231.37121         0.10453E+02    0.79616E+01    1
    2   23         9   16       -0.85440          198.41952      191.67087         0.20072E+02    0.20072E+02    0
    2   26        10   18       -0.14826          212.06266      207.23470         0.55051E+01    0.55051E+01    0
    2   31        13   24       -0.10248           64.66017       63.78304         0.18491E+02    0.18491E+02    0
    2   34        14   26        1.23694           25.66560       36.26773         0.46532E+02    0.20576E+02    1
    2   37        15   28        1.14149           28.60406       54.94332         0.10918E+02    0.85384E+01    1
    3    6         4    5        0.02420          855.83353      856.12060         0.17969E+01    0.17969E+01    0
    3    9         5    7        0.00477          746.37562      746.41640         0.49669E+01    0.49669E+01    0
    3   12         6    9        0.16913          455.44921      456.29726         0.12443E+02    0.12443E+02    0
    3   15         7   11       -1.29407          232.24466      202.86762         0.10367E+02    0.38668E+01    1
    3   18         8   13        0.60133          169.22216      188.14501         0.35148E+01    0.35148E+01    0
    3   21         9   15       -0.99712          110.72258      108.23068         0.56253E+02    0.53001E+02    1
    3   24        10   17        0.06775          119.78501      122.59486         0.37174E+01    0.37174E+01    0
    3   27        11   19        0.26008          104.85856      108.63859         0.11938E+02    0.11938E+02    0
    3   29        13   23       -0.32606           42.16446       39.60817         0.17405E+02    0.17405E+02    0
    3   32        14   25        0.42658           38.29397       40.97466         0.24754E+02    0.24754E+02    0
    4    7         5    6       -0.10740         1349.79944     1348.19953         0.15843E+01    0.15843E+01    0
    4   10         6    8       -0.12333          588.05302      587.07353         0.52414E+01    0.52414E+01    0
    4   13         7   10        0.79942          197.38840      204.12004         0.10976E+02    0.77400E+01    1
    4   16         8   12       -0.55557          239.86478      237.33321         0.21064E+02    0.19605E+02    1
    4   19         9   14       -0.86449          139.16368      137.30988         0.10231E+03    0.51403E+02    1
    4   22        10   16       -0.41731          103.00284      102.15962         0.65449E+02    0.65449E+02    0
    4   28        12   20       -1.21130           51.03040       44.46240         0.12623E+03    0.31466E+02    1
    4   30        14   24       -1.45492           38.96305       27.36323         0.66315E+02    0.16862E+02    1
    4   33        15   26        1.39935            3.82337       19.15863         0.49605E+02    0.14080E+02    1
    4   36        16   28        0.41745            1.67893       18.44119         0.43373E+01    0.43373E+01    0
    4   45        19   30       -0.99767           25.88994        5.83285         0.19150E+02    0.18033E+02    1
    5    8         6    7        0.03278         1170.72951     1171.15460         0.21607E+01    0.15806E+01    1
    5   14         8   11       -1.34516          275.38385      229.54656         0.83943E+01    0.19372E+01    1
    5   17         9   13        0.00719          252.78687      252.82793         0.19967E+02    0.15430E+02    1
    5   20        10   15       -0.33806          112.40218      109.13763         0.11390E+02    0.11390E+02    0
    5   23        11   17       -0.57179          128.41323       99.35758         0.25795E+01    0.25795E+01    0
    5   26        12   19       -0.07779           49.29869       48.56800         0.16086E+02    0.16086E+02    0
    5   31        15   25        0.23613           44.32745       44.86964         0.58641E+02    0.58641E+02    0
    5   34        16   27       -0.08408           17.27072       15.07295         0.58569E+01    0.58569E+01    0
    5   43        19   29       -0.84129           15.04998        1.40949         0.21261E+02    0.21261E+02    0
    5   46        20   31        1.09337           -5.05032       -0.82289         0.12791E+03    0.93824E+02    1
    6    9         7    8        0.00708          945.71579      945.79106         0.21482E+01    0.21482E+01    0
    6   15         9   12        1.20861          339.45782      373.97985         0.12423E+02    0.23543E+01    1
    6   18        10   14        0.09822          203.26422      205.55160         0.38033E+01    0.38033E+01    0
    6   24        12   18        0.07409           92.15989       93.57997         0.67747E+01    0.67747E+01    0
    6   27        13   20       -0.47735           17.42166       12.90905         0.15880E+02    0.15880E+02    0
    6   29        15   24       -0.62127           41.14855       36.04125         0.13802E+02    0.13802E+02    0
    6   32        16   26        0.31318           14.64880       21.57069         0.60163E+01    0.60163E+01    0
    6   44        20   30       -0.94725            9.76462        3.45151         0.52354E+02    0.51925E+02    1
    6   47        21   32        0.31578            4.80206        7.44666         0.43537E+02    0.43537E+02    0
    7   16        10   13       -0.46176          444.99584      443.05841         0.15528E+02    0.15528E+02    0
    7   22        12   17       -0.03866          103.03046      101.61985         0.29418E+01    0.29418E+01    0
    7   25        13   19        1.06975           40.65217       54.66742         0.11167E+02    0.98071E+01    1
    7   28        14   21        0.10770           50.06642       50.59232         0.30184E+02    0.30184E+02    0
    7   30        16   25       -0.27948           68.21601       62.88795         0.58928E+01    0.58928E+01    0
    7   33        17   27       -1.28368           58.23211       57.92365         0.10000E+04    0.54965E+03    1
    7   42        20   29       -0.12732           22.09109       20.75407         0.31045E+02    0.31045E+02    0
    7   45        21   31        1.21766            0.04984       16.45458         0.33718E+02    0.25518E+02    1
    7   48        22   33       -0.21600           27.91942       26.81510         0.71326E+02    0.71326E+02    0
    8   14        10   12       -0.01076          476.33783      476.26068         0.66832E+01    0.60662E+01    1
    8   20        12   16       -0.20861          107.96167      106.47677         0.11880E+02    0.11880E+02    0
    8   26        14   20        0.07780           31.39457       31.55766         0.60759E+02    0.60759E+02    0
    8   31        17   26        1.19174           38.92123       43.79356         0.68044E+02    0.27205E+02    1
    8   43        21   30       -0.26756            6.80567        5.75582         0.83605E+02    0.83605E+02    0
    9   18        12   15        0.11575          187.74090      189.75344         0.36382E+01    0.36382E+01    0
    9   21        13   17       -0.02823           75.97668       75.04970         0.26071E+01    0.26071E+01    0
    9   24        14   19       -0.04425           48.38177       48.24010         0.33534E+02    0.33534E+02    0
    9   27        15   21       -0.01130           68.38531       68.22448         0.89116E+01    0.89116E+01    0
    9   29        17   25       -0.25041           63.90650       63.52156         0.59230E+02    0.59230E+02    0
    9   32        18   27       -1.54034           97.45285       51.81463         0.11407E+02    0.37340E+01    1
    9   41        21   29        0.56743           -2.47980       12.71076         0.11505E+02    0.11505E+02    0
    9   44        22   31        1.29121           12.74030       16.02672         0.23669E+03    0.12890E+03    1
    9   47        23   33        1.05975           15.87667       27.73291         0.39421E+02    0.30931E+02    1
   10   16        12   14       -0.74467          359.89828      357.74673         0.14588E+02    0.14588E+02    0
   10   19        13   16       -0.23078          153.85051      153.36586         0.30109E+02    0.30109E+02    0
   10   25        15   20        1.56920           57.73569       83.39959         0.20359E+02    0.64947E+01    1
   10   28        16   22       -0.11975           51.43242       48.75525         0.56225E+01    0.56225E+01    0
   10   30        18   26       -1.50911           74.26644       30.34154         0.95204E+01    0.30669E+01    1
   10   33        19   28        1.00434           29.33491       35.48344         0.19296E+02    0.18050E+02    1
   10   42        22   30       -1.23475           22.18271       17.81110         0.11594E+03    0.88214E+02    1
   10   48        24   34       -1.63727           31.33416       17.96656         0.15968E+03    0.42738E+02    1
   11   14        12   13        0.06058          732.18732      732.65427         0.34578E+01    0.26667E+01    1
   11   17        13   15       -0.11436          355.44368      354.88833         0.98354E+01    0.87764E+01    1
   11   20        14   17       -1.16749          202.47421      149.50160         0.21527E+01    0.14181E+01    1
   11   23        15   19       -1.23928          175.86414      140.98476         0.52926E+01    0.30808E+01    1
   11   26        16   21        0.27422          106.35904      113.84271         0.39214E+01    0.39214E+01    0
   11   31        19   27        1.14449          107.53255      116.79341         0.22497E+02    0.11058E+02    1
   11   40        22   29        1.38759           13.02050       33.07944         0.65220E+02    0.20275E+02    1
   11   43        23   31        0.92983           18.75869       22.38504         0.80168E+02    0.80168E+02    0
