301
1	2	5	3	4	4.664466e+02	4.665400e-02
2	2	8	4	6	2.081579e+02	2.775990e-01
3	2	11	5	8	1.145050e+02	9.892000e-03
4	2	14	6	10	7.196982e+01	1.547174e-01
5	2	17	7	12	5.688157e+01	7.349680e-02
6	2	20	8	14	3.621418e+01	6.875480e-02
7	2	23	9	16	2.550738e+01	4.331200e-03
8	2	26	10	18	2.105344e+01	1.074879e-01
9	2	31	13	24	1.392502e+01	7.942700e-03
10	2	34	14	26	1.184239e+01	1.480870e-02
11	2	37	15	28	1.047975e+01	3.139100e-03
12	3	6	4	5	4.579095e+02	5.146510e-01
13	3	9	5	7	1.783667e+02	9.352400e-02
14	3	12	6	9	1.052918e+02	1.042400e-02
15	3	15	7	11	7.690610e+01	1.515810e-01
16	3	18	8	13	5.088976e+01	1.314794e-01
17	3	21	9	15	3.223651e+01	8.074500e-03
18	3	24	10	17	2.591682e+01	1.864040e-02
19	3	27	11	19	1.959455e+01	2.240570e-02
20	3	29	13	23	1.645088e+01	1.296050e-02
21	3	32	14	25	1.412221e+01	2.059970e-02
22	3	35	15	27	1.226526e+01	8.602800e-02
23	3	44	18	29	6.301005e+00	1.855881e-01
24	4	7	5	6	4.487586e+02	1.997910e-01
25	4	10	6	8	1.809541e+02	7.972000e-02
26	4	13	7	10	9.984370e+01	2.011830e-02
27	4	16	8	12	7.548530e+01	7.680420e-02
28	4	19	9	14	4.306274e+01	3.631630e-02
29	4	22	10	16	3.182059e+01	1.133310e-02
30	4	25	11	18	2.312162e+01	2.266171e-01
31	4	28	12	20	1.666436e+01	1.599200e-02
32	4	30	14	24	1.667875e+01	4.430700e-03
33	4	33	15	26	1.390523e+01	1.985800e-03
34	4	36	16	28	1.198361e+01	4.231700e-03
35	4	45	19	30	5.794530e+00	1.865876e-02
36	5	8	6	7	3.893107e+02	8.460800e-02
37	5	11	7	9	1.893354e+02	8.990000e-04
38	5	14	8	11	9.682013e+01	2.026325e-01
39	5	17	9	13	6.176263e+01	4.622680e-02
40	5	20	10	15	3.962319e+01	7.298800e-03
41	5	23	11	17	2.867331e+01	1.030385e-01
42	5	26	12	19	1.953572e+01	2.287580e-02
43	5	31	15	25	1.726550e+01	1.822360e-02
44	5	34	16	27	1.354175e+01	3.101000e-02
45	5	43	19	29	6.106462e+00	4.379320e-03
46	5	46	20	31	5.491806e+00	8.380390e-03
47	6	9	7	8	3.814067e+02	2.053700e-01
48	6	12	8	10	1.436723e+02	2.064200e-02
49	6	15	9	12	9.741744e+01	6.690460e-02
50	6	18	10	14	5.611019e+01	1.577611e-01
51	6	21	11	16	3.562199e+01	8.364200e-03
52	6	24	12	18	2.387295e+01	8.225250e-02
53	6	27	13	20	1.899200e+01	1.253790e-02
54	6	29	15	24	1.991508e+01	3.776800e-03
55	6	32	16	26	1.588259e+01	3.734650e-02
56	6	35	17	28	1.328792e+01	3.043140e-01
57	6	44	20	30	5.798348e+00	1.301216e-02
58	6	47	21	32	5.395007e+00	2.902120e-03
59	7	10	8	9	4.204421e+02	6.228700e-02
60	7	13	9	11	1.329804e+02	1.304030e-01
61	7	16	10	13	8.625789e+01	1.229930e-02
62	7	19	11	15	4.497969e+01	8.847100e-03
63	7	22	12	17	2.887535e+01	3.132614e-01
64	7	25	13	19	2.258807e+01	1.137700e-02
65	7	28	14	21	1.855390e+01	1.017600e-02
66	7	30	16	25	2.018523e+01	8.498400e-03
67	7	33	17	27	1.495066e+01	7.727600e-02
68	7	42	20	29	6.056248e+00	2.411178e-02
69	7	45	21	31	5.501265e+00	5.876780e-03
70	7	48	22	33	5.159137e+00	1.600582e-02
71	8	11	9	10	2.833051e+02	2.915870e-01
72	8	14	10	12	1.599920e+02	1.413500e-02
