602
15	2	5	3	4	4.664466e+02
16	2	8	4	6	2.081579e+02
17	2	11	5	8	1.145050e+02
18	2	14	6	10	7.196982e+01
19	2	17	7	12	5.688157e+01
20	2	20	8	14	3.621418e+01
21	2	23	9	16	2.550738e+01
22	2	26	10	18	2.105344e+01
25	2	31	13	24	1.392502e+01
26	2	34	14	26	1.184239e+01
27	2	37	15	28	1.047975e+01
30	3	6	4	5	4.579095e+02
31	3	9	5	7	1.783667e+02
32	3	12	6	9	1.052918e+02
33	3	15	7	11	7.690610e+01
34	3	18	8	13	5.088976e+01
35	3	21	9	15	3.223651e+01
36	3	24	10	17	2.591682e+01
37	3	27	11	19	1.959455e+01
39	3	29	13	23	1.645088e+01
40	3	32	14	25	1.412221e+01
41	3	35	15	27	1.226526e+01
44	3	44	18	29	6.301005e+00
45	4	7	5	6	4.487586e+02
46	4	10	6	8	1.809541e+02
47	4	13	7	10	9.984370e+01
48	4	16	8	12	7.548530e+01
49	4	19	9	14	4.306274e+01
50	4	22	10	16	3.182059e+01
51	4	25	11	18	2.312162e+01
52	4	28	12	20	1.666436e+01
54	4	30	14	24	1.667875e+01
55	4	33	15	26	1.390523e+01
56	4	36	16	28	1.198361e+01
59	4	45	19	30	5.794530e+00
60	5	8	6	7	3.893107e+02
61	5	11	7	9	1.893354e+02
62	5	14	8	11	9.682013e+01
63	5	17	9	13	6.176263e+01
64	5	20	10	15	3.962319e+01
65	5	23	11	17	2.867331e+01
66	5	26	12	19	1.953572e+01
69	5	31	15	25	1.726550e+01
70	5	34	16	27	1.354175e+01
73	5	43	19	29	6.106462e+00
74	5	46	20	31	5.491806e+00
75	6	9	7	8	3.814067e+02
76	6	12	8	10	1.436723e+02
77	6	15	9	12	9.741744e+01
78	6	18	10	14	5.611019e+01
79	6	21	11	16	3.562199e+01
80	6	24	12	18	2.387295e+01
81	6	27	13	20	1.899200e+01
83	6	29	15	24	1.991508e+01
84	6	32	16	26	1.588259e+01
85	6	35	17	28	1.328792e+01
88	6	44	20	30	5.798348e+00
89	6	47	21	32	5.395007e+00
90	7	10	8	9	4.204421e+02
91	7	13	9	11	1.329804e+02
92	7	16	10	13	8.625789e+01
93	7	19	11	15	4.497969e+01
94	7	22	12	17	2.887535e+01
95	7	25	13	19	2.258807e+01
96	7	28	14	21	1.855390e+01
98	7	30	16	25	2.018523e+01
99	7	33	17	27	1.495066e+01
102	7	42	20	29	6.056248e+00
103	7	45	21	31	5.501265e+00
104	7	48	22	33	5.159137e+00
105	8	11	9	10	2.833051e+02
106	8	14	10	12	1.599920e+02
107	8	17	11	14	7.161052e+01
108	8	20	12	16	3.618319e+01
109	8	23	13	18	2.990869e+01
110	8	26	14	20	2.270089e+01
113	8	31	17	26	1.894266e+01
114	8	34	18	28	1.433296e+01
117	8	43	21	30	5.826208e+00
118	8	46	22	32	5.379885e+00
119	8	49	23	34	4.821053e+00
120	9	12	10	11	3.817623e+02
121	9	15	11	13	1.473241e+02
122	9	18	12	15	5.335251e+01
123	9	21	13	17	4.124403e+01
124	9	24	14	19	3.117669e+01
125	9	27	15	21	2.417987e+01
127	9	29	17	25	2.500222e+01
128	9	32	18	27	1.884450e+01
131	9	41	21	29	6.259795e+00
132	9	44	22	31	5.657139e+00
133	9	47	23	33	5.102234e+00
134	9	50	24	35	4.796664e+00
135	10	13	11	12	4.367944e+02
136	10	16	12	14	9.097624e+01
137	10	19	13	16	5.429614e+01
138	10	22	14	18	4.118639e+01
139	10	25	15	20	3.060555e+01
140	10	28	16	22	2.267160e+01
142	10	30	18	26	2.420919e+01
143	10	33	19	28	1.645349e+01
146	10	42	22	30	5.910816e+00
147	10	45	23	32	5.131608e+00
148	10	48	24	34	4.989093e+00
149	10	51	25	36	4.341354e+00
150	11	14	12	13	2.445761e+02
151	11	17	13	15	9.397359e+01
152	11	20	14	17	6.435793e+01
153	11	23	15	19	4.569133e+01
154	11	26	16	21	3.029750e+01
157	11	31	19	27	2.466421e+01
160	11	40	22	29	6.378724e+00
161	11	43	23	31	5.564620e+00
162	11	46	24	33	5.299076e+00
163	11	49	25	35	4.663510e+00
164	11	52	26	37	4.652359e+00
165	12	15	13	14	3.471653e+02
166	12	18	14	16	1.119946e+02
167	12	21	15	18	7.490238e+01
168	12	24	16	20	4.648758e+01
169	12	27	17	22	2.973876e+01
171	12	29	19	26	3.310047e+01
172	12	32	20	28	2.343269e+01
175	12	41	23	30	5.994696e+00
176	12	44	24	32	5.689725e+00
177	12	47	25	34	4.865040e+00
178	12	50	26	36	4.671123e+00
179	13	16	14	15	2.111424e+02
180	13	19	15	17	1.190680e+02
181	13	22	16	19	6.355048e+01
182	13	25	17	21	3.779056e+01
183	13	28	18	23	2.628155e+01
185	13	30	20	27	3.570275e+01
188	13	39	23	29	6.136792e+00
189	13	42	24	31	5.663587e+00
190	13	45	25	33	5.067338e+00
191	13	48	26	35	4.795091e+00
192	13	51	27	37	4.676863e+00
193	14	17	15	16	2.454757e+02
194	14	20	16	18	1.048756e+02
195	14	23	17	20	5.336551e+01
196	14	26	18	22	3.254269e+01
199	14	31	21	28	3.576495e+01
202	14	40	24	30	5.703307e+00
