    P+   P-        C+   C-  Normalised_Error  Observed_Rho_a  Calculated_Rho_a  Original_Weight  Final_Weight    C
    2    8         4    6       -0.40627          682.67377      677.29866         0.37849E+01    0.37849E+01    0
    2   20         8   14       -0.04313           82.96758       80.74136         0.26630E+01    0.26630E+01    0
    2   23         9   16       -1.24715          113.76710       69.33674         0.47531E+01    0.44503E+01    1
    2   26        10   18        1.83919         -207.88117        8.52367         0.32107E+01    0.15236E+01    1
    2   31        13   24       -1.59748            0.00046      -20.08516         0.20476E+02    0.12588E+02    1
    2   34        14   26        0.50328          -24.29417      -21.78326         0.35350E+02    0.35350E+02    0
    2   37        15   28        0.29318            0.27056        8.09014         0.73869E+01    0.73869E+01    0
    3    6         4    5       -0.04705         1101.33758     1100.31328         0.97898E+00    0.97898E+00    0
    3    9         5    7        0.09159          941.20893      942.16048         0.40871E+01    0.40871E+01    0
    3   12         6    9        0.21552           94.47149       98.83162         0.30839E+01    0.30839E+01    0
    3   15         7   11       -1.65010         -107.68605     -174.46088         0.37285E+01    0.21692E+01    1
    3   18         8   13        1.18945          -13.04509       27.34000         0.33183E+01    0.32576E+01    1
    3   21         9   15       -0.04523            0.21315       -0.04532         0.23179E+02    0.23179E+02    0
    3   24        10   17       -1.81578          -38.24949      -50.87120         0.56367E+02    0.22180E+02    1
    3   27        11   19       -0.38767           -5.91682      -40.13460         0.19658E+01    0.19658E+01    0
    3   29        13   23       -0.80012          -33.74030      -37.51953         0.28890E+02    0.28890E+02    0
    3   32        14   25        0.47917          -29.60627      -22.16772         0.10021E+02    0.10021E+02    0
    4    7         5    6       -0.32908         2616.44086     2605.55412         0.88872E+00    0.71343E+00    1
    4   10         6    8       -0.05311          230.16724      229.42907         0.29947E+01    0.29947E+01    0
    4   13         7   10        0.19057         -195.01221     -187.25169         0.16005E+01    0.16005E+01    0
    4   16         8   12       -0.08071          -62.28057      -63.89752         0.44593E+01    0.44593E+01    0
    4   19         9   14       -2.05157           -9.21502      -11.78013         0.10000E+04    0.88161E+02    1
    4   22        10   16       -0.39119          -88.05607      -89.59540         0.33607E+02    0.33607E+02    0
    4   28        12   20       -0.13255          -46.93296      -48.00961         0.21005E+02    0.21005E+02    0
    4   30        14   24       -1.28572          -24.97415      -30.70037         0.40965E+02    0.30185E+02    1
    4   33        15   26        0.00814          -29.26788      -29.25374         0.10944E+03    0.88840E+02    1
    4   36        16   28        0.32922          -34.66823      -25.91884         0.65533E+01    0.65533E+01    0
    4   45        19   30       -1.51484           52.02294       10.45047         0.17209E+02    0.13210E+02    1
    5    8         6    7        0.06628         2007.30238     2008.86211         0.91967E+00    0.87107E+00    1
    5   14         8   11       -0.65838         -130.40475     -133.85221         0.12661E+02    0.12607E+02    1
    5   17         9   13       -0.30118          -23.29520      -27.45046         0.63881E+01    0.63881E+01    0
    5   20        10   15        0.05102         -166.25079     -163.44803         0.20023E+01    0.20023E+01    0
    5   23        11   17       -1.37876          -90.59499     -152.97034         0.34211E+01    0.28973E+01    1
    5   26        12   19        0.01074          -87.28764      -87.01755         0.60063E+01    0.60063E+01    0
    5   31        15   25        0.22170          -53.06178      -51.94483         0.26726E+02    0.26726E+02    0
    5   34        16   27       -1.00488          -54.36033      -61.02924         0.23069E+02    0.23069E+02    0
    5   43        19   29       -0.77210           -2.46878       -4.41674         0.13663E+03    0.13663E+03    0
    5   46        20   31        2.03900          -12.05186        9.54197         0.87040E+02    0.34254E+02    1
    6    9         7    8       -0.21713         1147.78695     1142.74075         0.98329E+00    0.98329E+00    0
    6   15         9   12        1.58871          -62.50026       24.18983         0.19375E+01    0.12324E+01    1
    6   18        10   14       -0.28374          -87.22281      -92.92482         0.44077E+01    0.44077E+01    0
    6   24        12   18        0.22700          -89.46846      -81.78542         0.38368E+01    0.38368E+01    0
    6   27        13   20       -0.60047         -104.39283     -114.53742         0.88860E+01    0.88860E+01    0
    6   29        15   24       -0.86786          -41.95347      -55.36325         0.73431E+01    0.73431E+01    0
    6   32        16   26        1.65851          -80.65551      -41.50493         0.10884E+02    0.56330E+01    1
    6   44        20   30       -0.12295           16.28059       14.44232         0.23145E+02    0.23145E+02    0
    6   47        21   32       -1.53394           17.96945        1.75738         0.51346E+02    0.34499E+02    1
    7   16        10   13       -0.27677          113.21173      109.76253         0.52279E+01    0.52279E+01    0
    7   22        12   17       -0.36187          -48.33224      -57.03073         0.44660E+01    0.44660E+01    0
    7   25        13   19        1.36159          -89.63320      -52.64219         0.55148E+01    0.47295E+01    1
