    0.18729E+02    0.29346E+04    0.11632E+04    0.30657E+01
    0.87324E+01    0.29440E+04    0.17689E+04    0.32477E+01
    0.13340E+02    0.29520E+04    0.22190E+04    0.33462E+01
    0.19658E+02    0.29335E+04    0.11062E+04    0.30439E+01
    0.34367E+02    0.29415E+04    0.50039E+03    0.26993E+01
    0.10575E+02    0.29511E+04    0.21477E+04    0.33320E+01
    0.22011E+02    0.29475E+04    0.12905E+04    0.31108E+01
    0.20005E+02    0.29468E+04    0.14999E+04    0.31761E+01
    0.36320E+00    0.29430E+04    0.17214E+04    0.32359E+01
    0.13127E+02    0.29476E+04    0.20430E+04    0.33103E+01
    0.26893E+02    0.29421E+04    0.79499E+03    0.29004E+01
    0.14230E+02    0.29476E+04    0.20157E+04    0.33044E+01
    0.30507E+02    0.29435E+04    0.58517E+03    0.27673E+01
    0.51530E+01    0.29524E+04    0.21832E+04    0.33391E+01
    0.43229E+01    0.29519E+04    0.21628E+04    0.33350E+01
    0.16731E+02    0.29474E+04    0.18780E+04    0.32737E+01
    0.58271E+01    0.29416E+04    0.16297E+04    0.32121E+01
    0.54372E+02    0.29321E+04    0.47967E+03    0.26809E+01
    0.36763E+02    0.29379E+04    0.41793E+03    0.26211E+01
    0.93867E+01    0.29538E+04    0.22583E+04    0.33538E+01
    0.22701E+02    0.29476E+04    0.12055E+04    0.30812E+01
    0.14945E+02    0.29466E+04    0.19180E+04    0.32829E+01
    0.11847E+02    0.29348E+04    0.13196E+04    0.31204E+01
    0.72076E+02    0.29311E+04    0.57935E+03    0.27629E+01
    0.60343E+01    0.29463E+04    0.18567E+04    0.32688E+01
    0.63676E+02    0.29316E+04    0.48066E+03    0.26818E+01
    0.47006E+02    0.29366E+04    0.29104E+03    0.24640E+01
    0.99995E+01    0.29505E+04    0.21173E+04    0.33258E+01
    0.83625E+00    0.29510E+04    0.21608E+04    0.33346E+01
    0.13327E+02    0.29512E+04    0.21955E+04    0.33415E+01
    0.35933E+02    0.29382E+04    0.43878E+03    0.26422E+01
    0.62785E+02    0.29314E+04    0.49846E+03    0.26976E+01
    0.81561E+01    0.29430E+04    0.17005E+04    0.32306E+01
    0.58083E+02    0.29334E+04    0.40911E+03    0.26118E+01
    0.45256E+02    0.29312E+04    0.39784E+03    0.25997E+01
    0.19578E+02    0.29486E+04    0.16166E+04    0.32086E+01
    0.27138E+02    0.29452E+04    0.74761E+03    0.28737E+01
    0.25113E+02    0.29364E+04    0.92407E+03    0.29657E+01
    0.11894E+02    0.29330E+04    0.12696E+04    0.31037E+01
    0.20399E+02    0.29486E+04    0.14989E+04    0.31758E+01
