    P+   P-        C+   C-  Normalised_Error  Observed_Rho_a  Calculated_Rho_a  Original_Weight  Final_Weight    C
    2    8         4    6       -2.04922          572.63187      565.54724         0.22469E+02    0.14484E+02    1
    2   20         8   14        1.10776           62.58884       90.76210         0.54052E+01    0.54052E+01    0
    2   23         9   16       -2.18178           91.59082       56.53063         0.23879E+02    0.98660E+01    1
    2   26        10   18        1.59601         -122.02913        8.22762         0.21965E+01    0.21965E+01    0
    2   31        13   24       -0.97046           -5.87996       -8.13679         0.68058E+02    0.68058E+02    0
    2   34        14   26       -0.10419          -21.95670      -23.44832         0.12320E+02    0.12320E+02    0
    2   37        15   28       -3.04323           -1.18755       -2.46157         0.10000E+04    0.47061E+03    1
    3    6         4    5        0.02430          794.12668      794.92704         0.64717E+00    0.64717E+00    0
    3    9         5    7        0.11982          867.15051      867.44312         0.18681E+02    0.17387E+02    1
    3   12         6    9        0.29733          -14.48012       69.77215         0.22018E+00    0.22018E+00    0
    3   15         7   11       -0.61472         -212.02227     -296.72853         0.63703E+00    0.63703E+00    0
    3   18         8   13        0.33663          -39.16392        6.34350         0.81817E+00    0.81817E+00    0
    3   21         9   15       -0.28481          -24.44962      -29.93423         0.68783E+01    0.68783E+01    0
    3   24        10   17       -1.72632          -50.00465      -66.28818         0.21560E+02    0.16345E+02    1
    3   27        11   19       -0.05294          -13.80656      -15.22458         0.64780E+01    0.64780E+01    0
    3   29        13   23       -0.04286          -38.42275      -39.32943         0.64508E+01    0.64508E+01    0
    3   32        14   25        0.07639          -26.10447      -22.66635         0.34565E+01    0.34565E+01    0
    4    7         5    6       -0.68932         2578.09923     2541.32862         0.62184E+00    0.44246E+00    1
    4   10         6    8        0.05419           44.34357       44.92999         0.38468E+01    0.38468E+01    0
    4   13         7   10        0.53973         -254.27672     -246.22999         0.43717E+01    0.43717E+01    0
    4   16         8   12       -1.07397          -94.02741     -102.88449         0.14530E+02    0.10832E+02    1
    4   19         9   14       -0.97464          -25.67979      -48.15825         0.47794E+01    0.47794E+01    0
    4   22        10   16       -0.37890         -113.84435     -115.04959         0.41575E+02    0.41575E+02    0
    4   28        12   20        0.10800          -43.85057      -43.51102         0.54267E+02    0.54267E+02    0
    4   30        14   24       -2.11713          -27.17078      -39.63201         0.52874E+02    0.22840E+02    1
    4   33        15   26       -0.26548          -29.50070      -32.86235         0.12186E+02    0.12186E+02    0
    4   36        16   28       -0.85009          -31.78670      -32.37595         0.39781E+03    0.25126E+03    1
    4   45        19   30       -2.88553           42.21351       31.24862         0.23177E+03    0.95404E+02    1
    5    8         6    7        0.14818         1826.85688     1832.33877         0.69017E+00    0.55407E+00    1
    5   14         8   11       -0.29091         -177.52939     -211.05139         0.57287E+00    0.57287E+00    0
    5   17         9   13       -0.26519          -45.24784      -76.79169         0.74093E+00    0.74093E+00    0
    5   20        10   15        0.87850         -195.13067     -170.72875         0.39598E+01    0.39598E+01    0
    5   23        11   17       -0.38182          -84.39933      -91.20216         0.73568E+01    0.73568E+01    0
    5   26        12   19        0.45628          -88.39179      -72.50503         0.43397E+01    0.43397E+01    0
    5   31        15   25        0.20789          -53.64996      -48.14334         0.50833E+01    0.50833E+01    0
    5   34        16   27       -0.17138          -50.84006      -52.93956         0.12497E+02    0.12497E+02    0
    5   43        19   29        1.92136            5.43423       26.42095         0.31560E+02    0.31560E+02    0
    5   46        20   31        0.70564           -9.99020       21.11714         0.82289E+01    0.82289E+01    0
    6    9         7    8       -0.42072          970.98041      957.01406         0.68839E+00    0.68839E+00    0
    6   15         9   12        2.24549          -98.77682      -35.62982         0.53909E+01    0.23912E+01    1
    6   18        10   14        0.33908         -108.74094     -100.28442         0.35516E+01    0.35516E+01    0
    6   24        12   18       -0.00228          -52.48105      -52.62225         0.20962E+01    0.20962E+01    0
    6   27        13   20        0.89124         -100.62228      -93.78929         0.23263E+02    0.19581E+02    1
    6   29        15   24       -0.87020          -41.21744      -46.02199         0.20550E+02    0.20550E+02    0
    6   32        16   26        2.01303          -56.60208      -23.11013         0.95502E+01    0.79922E+01    1
    6   44        20   30        1.57043           20.79992       33.92620         0.55880E+02    0.41403E+02    1
    6   47        21   32        0.18643           16.73770       22.77928         0.11251E+02    0.11251E+02    0
    7   16        10   13       -0.12996           80.38485       67.28251         0.64623E+00    0.64623E+00    0
    7   22        12   17       -0.16422          -38.07927      -41.88925         0.46270E+01    0.46270E+01    0
    7   25        13   19        1.12223          -91.72018      -45.03833         0.30888E+01    0.30888E+01    0
    7   28        14   21        0.02318          -41.02333      -40.74904         0.12457E+02    0.12457E+02    0
    7   30        16   25        0.14944          -16.74062      -15.00800         0.96894E+01    0.96894E+01    0
    7   33        17   27       -1.90639           11.28437        9.04720         0.16079E+03    0.11255E+03    1
    7   42        20   29        0.36898           45.78858       59.01014         0.90986E+01    0.90986E+01    0
    7   45        21   31       -0.25647           51.55577       47.80262         0.23493E+02    0.23493E+02    0
    7   48        22   33       -0.15450           31.76886       29.80250         0.28652E+02    0.28652E+02    0
    8   14        10   12        0.12580         -275.01143     -272.38523         0.20842E+01    0.20842E+01    0
    8   20        12   16       -0.37204         -105.57239     -106.56849         0.36635E+02    0.31585E+02    1
    8   26        14   20        0.65309         -129.68816     -123.04785         0.12527E+02    0.12527E+02    0
    8   31        17   26       -0.34886          -31.11467      -36.53775         0.71549E+01    0.71549E+01    0
    8   43        21   30        1.85063           -2.47137       24.68629         0.27168E+02    0.22355E+02    1
    9   18        12   15        0.58237          -91.09347      -76.28032         0.24870E+01    0.24870E+01    0
    9   21        13   17       -0.12749         -182.81712     -185.85065         0.35983E+01    0.35983E+01    0
