    P+   P-        C+   C-  Normalised_Error  Observed_Rho_a  Calculated_Rho_a  Original_Weight  Final_Weight    C
    2    8         4    6        0.89948          701.64378      734.73400         0.19884E+01    0.13612E+01    1
    2   20         8   14       -0.91411          176.63751       89.97389         0.14500E+01    0.14500E+01    0
    2   23         9   16       -2.27976          137.71336       65.19884         0.12810E+02    0.49844E+01    1
    2   26        10   18        0.19992           19.51713       31.96640         0.28788E+01    0.28788E+01    0
    2   31        13   24       -0.57053           10.54493       -3.32239         0.65115E+01    0.65115E+01    0
    2   34        14   26       -0.23540           -4.15997      -10.20148         0.68718E+01    0.68718E+01    0
    2   37        15   28        0.72167            6.84762       27.80950         0.67828E+01    0.67828E+01    0
    3    6         4    5       -0.22687         1162.82741     1152.89771         0.48698E+00    0.48698E+00    0
    3    9         5    7        1.02976         1007.89269     1059.21948         0.12322E+01    0.85191E+00    1
    3   12         6    9        1.02543          280.10675      412.44235         0.48345E+00    0.48345E+00    0
    3   15         7   11        0.54995          -97.31353      -96.63052         0.13690E+03    0.70680E+02    1
    3   18         8   13        0.57742           15.54341       36.25019         0.30843E+01    0.30843E+01    0
    3   21         9   15        0.61022           -6.83510       -0.61540         0.12995E+02    0.12995E+02    0
    3   24        10   17        0.26891          -24.33300      -16.36775         0.52050E+01    0.52050E+01    0
    3   27        11   19       -0.37439           72.44555       72.23548         0.67963E+03    0.30923E+03    1
    3   29        13   23        0.11016          -24.49985      -22.81827         0.89390E+01    0.89390E+01    0
    3   32        14   25        0.09142          -11.07708       -8.38280         0.52782E+01    0.52782E+01    0
    4    7         5    6       -0.04640         2509.09346     2508.82764         0.58463E+01    0.41195E+01    1
    4   10         6    8        0.25869          296.62178      317.90373         0.50597E+00    0.50597E+00    0
    4   13         7   10        0.42050            3.76568       28.79061         0.10952E+01    0.10952E+01    0
    4   16         8   12       -1.61028           -8.78999      -71.63705         0.27843E+01    0.22890E+01    1
    4   19         9   14       -1.56932          -17.96640      -72.70106         0.32798E+01    0.31604E+01    1
    4   22        10   16       -0.12936         -101.87016     -102.12381         0.87127E+02    0.67443E+02    1
    4   28        12   20        0.18886          -33.67850      -27.04750         0.48593E+01    0.48593E+01    0
    4   30        14   24       -1.59027          -19.63666      -46.94028         0.88314E+01    0.78301E+01    1
    4   33        15   26        0.06478          -29.01507      -27.12516         0.52892E+01    0.52892E+01    0
    4   36        16   28        1.13852          -34.36934      -25.30902         0.21885E+02    0.21885E+02    0
    4   45        19   30       -0.79494           27.20434        0.00810         0.10597E+02    0.10597E+02    0
    5    8         6    7       -0.59205         2052.16873     2033.32983         0.15032E+01    0.64419E+00    1
    5   14         8   11       -1.28792         -140.35120     -214.76889         0.11503E+01    0.11425E+01    1
    5   17         9   13       -1.55139          -23.08044      -94.34731         0.21442E+01    0.19186E+01    1
    5   20        10   15        1.19587         -178.75840     -172.94845         0.56508E+02    0.22640E+02    1
    5   23        11   17       -2.18485           40.63882       -4.86143         0.95414E+01    0.62941E+01    1
    5   26        12   19        0.48995          -70.97401      -48.72212         0.33269E+01    0.33269E+01    0
    5   31        15   25       -0.02003          -42.82502      -42.97702         0.17739E+02    0.17739E+02    0
    5   34        16   27        0.26738          -46.54648      -44.81427         0.23631E+02    0.23631E+02    0
    5   43        19   29        0.11606          -10.27421       -7.40885         0.13962E+02    0.13962E+02    0
    5   46        20   31        0.61175          -11.88421       -2.42284         0.23455E+02    0.23455E+02    0
    6    9         7    8       -0.49771         1241.66996     1240.81979         0.16163E+03    0.13378E+02    1
    6   15         9   12        2.60176          -47.73595       39.08562         0.53449E+01    0.20151E+01    1
    6   18        10   14        0.65478          -99.18921      -87.02001         0.56786E+01    0.47660E+01    1
    6   24        12   18        0.28904          -35.26823      -18.91140         0.22947E+01    0.22947E+01    0
    6   27        13   20        0.60160          -91.08962      -81.46663         0.93852E+01    0.93852E+01    0
    6   29        15   24       -0.48180          -34.86665      -44.06547         0.59428E+01    0.59428E+01    0
    6   32        16   26        0.20496          -35.25632      -32.98110         0.11978E+02    0.11978E+02    0
    6   44        20   30        0.11039           14.61646       17.52156         0.13150E+02    0.13150E+02    0
    6   47        21   32       -0.15039            9.68527        8.58822         0.49986E+02    0.49986E+02    0
    7   16        10   13       -0.68191          106.65001       72.27559         0.12925E+01    0.12925E+01    0
    7   22        12   17        0.05726           11.60534       14.80487         0.19213E+01    0.19213E+01    0
    7   25        13   19        0.74509          -70.23841      -37.04174         0.28839E+01    0.28839E+01    0
    7   28        14   21       -1.24952          -29.60792      -42.05225         0.16128E+02    0.14799E+02    1
    7   30        16   25       -1.32115           -6.55200      -21.46157         0.10072E+02    0.99545E+01    1
    7   33        17   27       -0.68911           -5.25952       -5.85535         0.15276E+03    0.15276E+03    0
    7   42        20   29       -0.15888           40.93013       37.75871         0.16333E+02    0.16333E+02    0
    7   45        21   31       -1.75310           33.60311       24.94983         0.96099E+02    0.69649E+02    1
    7   48        22   33       -1.12882           33.93308       15.81104         0.22715E+02    0.22715E+02    0
    8   14        10   12       -0.07267         -102.86414     -105.87009         0.10544E+01    0.10518E+01    1
    8   20        12   16        1.09739          -50.77757      -13.01145         0.24572E+01    0.24572E+01    0
    8   26        14   20        1.39790         -105.62748     -100.43083         0.10163E+03    0.34263E+02    1
    8   31        17   26       -2.33934          -38.40557      -52.81877         0.27608E+02    0.18052E+02    1
    8   43        21   30        0.65612            2.57299       13.13997         0.20369E+02    0.20369E+02    0
    9   18        12   15       -0.92135           45.30743       43.22183         0.35584E+02    0.27946E+02    1
    9   21        13   17       -0.09010          -91.30100      -92.78693         0.51920E+01    0.51920E+01    0
    9   24        14   19       -1.26718          -85.50512     -110.55852         0.54303E+01    0.54303E+01    0
    9   27        15   21       -1.79025          -32.34186      -59.30028         0.10411E+02    0.84214E+01    1
    9   29        17   25        1.40188          -52.97633      -51.45633         0.10366E+03    0.83973E+02    1
    9   32        18   27       -0.87088            6.86648       -5.49074         0.77968E+01    0.77968E+01    0
    9   41        21   29        0.64429           -0.27493       26.09431         0.75252E+01    0.75252E+01    0
    9   44        22   31       -0.07376           13.91100       11.67237         0.10809E+02    0.10809E+02    0
    9   47        23   33        0.50539           12.86502       13.71017         0.21952E+03    0.20693E+03    1
   10   16        12   14       -0.51313          390.66167      367.69983         0.94187E+00    0.94187E+00    0
   10   19        13   16        0.22763           19.21945       22.56700         0.42995E+01    0.42995E+01    0
   10   25        15   20       -0.11064          -11.30152      -13.60083         0.51111E+01    0.51111E+01    0
   10   28        16   22       -0.89576           -2.75004      -16.49467         0.81921E+01    0.81921E+01    0
   10   30        18   26       -1.44797           -7.95888      -40.14971         0.40309E+01    0.40153E+01    1
   10   33        19   28       -0.28043          -23.98806      -25.09005         0.28119E+02    0.28119E+02    0
   10   42        22   30       -0.87681           29.26694       23.56867         0.48058E+02    0.48058E+02    0
   10   48        24   34       -0.70426           44.50433       15.96292         0.86101E+01    0.86101E+01    0
   11   14        12   13        0.03198          754.86520      756.25636         0.47694E+00    0.47245E+00    1
   11   17        13   15        0.87532            0.16895       10.00531         0.39855E+01    0.37925E+01    1
   11   20        14   17       -1.94631          -91.76595     -152.34677         0.28588E+01    0.20673E+01    1
   11   23        15   19       -2.52904          -17.09003      -90.63941         0.57291E+01    0.29815E+01    1
   11   26        16   21        0.10078          -70.00072      -69.81688         0.58662E+02    0.58662E+02    0
   11   31        19   27        0.97977          -15.63250       -6.46498         0.95630E+01    0.95630E+01    0
   11   40        22   29        1.74279            2.99444       26.69561         0.24769E+02    0.21552E+02    1
   11   43        23   31       -0.10030           13.21819       12.90721         0.10084E+03    0.10084E+03    0
   11   46        24   33       -1.41996           22.50116        8.52154         0.33480E+02    0.33480E+02    0
