    P+   P-        C+   C-  Normalised_Error  Observed_Rho_a  Calculated_Rho_a  Original_Weight  Final_Weight    C
   10   28        16   22       -0.53118           34.63176       30.80678         0.17456E+02    0.17456E+02    0
   10   30        18   26       -1.52442           53.15548       20.17892         0.10641E+02    0.41266E+01    1
   10   33        19   28       -0.51689           22.20893       21.33225         0.65151E+02    0.65151E+02    0
   10   42        22   30       -0.47137           20.80898       14.99153         0.25306E+02    0.25306E+02    0
   10   48        24   34       -1.29451           29.84467        8.41008         0.32923E+02    0.21074E+02    1
   11   14        12   13        0.18489          735.28304      735.88787         0.62834E+01    0.62834E+01    0
   11   17        13   15        0.06057          316.64428      316.76191         0.29901E+02    0.21945E+02    1
   11   20        14   17       -0.71251          175.09911      151.35641         0.19310E+01    0.19310E+01    0
   11   23        15   19       -1.29729          124.32676       77.36202         0.39930E+01    0.23951E+01    1
   11   26        16   21        0.90102           78.01469       92.22092         0.67874E+01    0.67874E+01    0
   11   31        19   27        1.43122           89.80602      101.90761         0.35268E+02    0.10582E+02    1
   11   40        22   29        1.01302            9.73581       26.79601         0.18954E+02    0.17404E+02    1
   11   43        23   31        0.99815           16.55185       24.45636         0.42367E+02    0.39481E+02    1
   11   46        24   33       -0.33241           28.06255       21.83200         0.17585E+02    0.17585E+02    0
   12   15        13   14       -0.37610         1824.37137     1821.23798         0.32426E+01    0.26422E+01    1
   12   18        14   16       -0.30386          277.82409      270.51203         0.17798E+01    0.17798E+01    0
   12   24        16   20       -0.42446          137.36992      136.09287         0.28909E+02    0.28909E+02    0
   12   27        17   22        0.10109           91.79542       92.27032         0.22514E+02    0.22514E+02    0
   12   29        19   26        0.73465           51.10951       55.16872         0.12288E+02    0.12288E+02    0
   12   32        20   28        0.99748           49.91848       52.24909         0.40970E+02    0.38206E+02    1
   12   41        23   30        0.16974           24.01994       32.06914         0.62387E+01    0.62387E+01    0
   12   44        24   32       -1.10312           35.30074       27.69981         0.69817E+02    0.45583E+02    1
   12   47        25   34       -0.22249           12.31617       12.10129         0.34325E+03    0.34325E+03    0
   12   50        26   36       -1.39247           32.88457       11.86719         0.46693E+02    0.23217E+02    1
   13   16        14   15        0.01892          483.21952      483.30286         0.69523E+01    0.48688E+01    1
   13   19        15   17       -0.15426          455.74287      453.91890         0.36338E+01    0.36338E+01    0
   13   22        16   19       -0.04455          149.10269      148.42604         0.43654E+01    0.43654E+01    0
   13   25        17   21       -1.39089          164.91215      151.94512         0.33162E+02    0.91643E+01    1
   13   30        20   27        0.03311          146.00999      146.06606         0.40432E+02    0.39716E+02    1
   13   39        23   29       -0.17946           38.92907       36.50362         0.20517E+02    0.20517E+02    0
   13   42        24   31       -0.49851           38.48701       30.55141         0.18642E+02    0.18642E+02    0
   13   45        25   33       -1.41468           43.05504       17.99596         0.47569E+02    0.17611E+02    1
   14   17        15   16        0.11286          454.21973      454.99698         0.48089E+01    0.30949E+01    1
   14   23        17   20        0.39347          155.01325      161.32610         0.40492E+01    0.40492E+01    0
   14   31        21   28       -0.54887          102.43485      100.94026         0.24841E+02    0.24841E+02    0
   14   40        24   30       -0.68012           42.53710       34.22592         0.22918E+02    0.22918E+02    0
   14   43        25   32        0.48788           12.30265       13.07040         0.18912E+03    0.18912E+03    0
   14   46        26   34       -1.48409           33.46831       19.22373         0.84251E+02    0.32830E+02    1
   14   52        28   38        1.62757          -41.96724      -13.79494         0.11814E+03    0.20097E+02    1
   15   18        16   17        0.01598          902.06785      902.53645         0.75351E+00    0.75351E+00    0
   15   21        17   19       -0.08735          195.73099      195.04275         0.55639E+01    0.55639E+01    0
   15   24        18   21        1.29724          105.37034      150.85402         0.62631E+01    0.18530E+01    1
