    P+   P-        C+   C-  Normalised_Error  Observed_Rho_a  Calculated_Rho_a  Original_Weight  Final_Weight    C
    2    8         4    6       -0.01406          671.17496      670.79624         0.20262E+01    0.18592E+01    1
    2   20         8   14       -0.02332          177.99712      177.13215         0.37059E+01    0.37059E+01    0
    2   23         9   16       -1.87899          150.21476      148.18778         0.24380E+03    0.14697E+03    1
    2   26        10   18       -1.85811          315.37449      120.97191         0.28108E+01    0.17135E+01    1
    2   31        13   24        0.55983           19.29816       24.59656         0.16723E+02    0.16723E+02    0
    2   34        14   26        1.64867          -27.20594        7.12681         0.13944E+02    0.84690E+01    1
    2   37        15   28        0.75651            8.38078       36.66955         0.52687E+01    0.52687E+01    0
    3    6         4    5       -0.10322         1141.38498     1138.76766         0.84056E+00    0.84056E+00    0
    3    9         5    7       -0.27197          884.24467      878.60807         0.20488E+01    0.20488E+01    0
    3   12         6    9        0.85196          298.57305      313.39541         0.35861E+01    0.35861E+01    0
    3   15         7   11       -1.18705           -8.71841      -54.73478         0.23731E+01    0.22644E+01    1
    3   18         8   13        0.17788           59.24337       68.14667         0.22098E+01    0.22098E+01    0
    3   21         9   15        1.20675           14.58284       30.70251         0.10564E+02    0.99158E+01    1
    3   24        10   17       -0.83050           21.47736        6.41624         0.85014E+01    0.85014E+01    0
    3   27        11   19       -0.16833           53.69887       41.61909         0.24179E+01    0.24179E+01    0
    3   29        13   23        0.21140          -12.30213      -10.27066         0.14200E+02    0.14200E+02    0
    3   32        14   25        1.22192            1.12484        5.79476         0.60293E+02    0.40703E+02    1
    4    7         5    6       -0.20380         2082.25570     2076.79565         0.88096E+00    0.88096E+00    0
    4   10         6    8       -0.23809          313.02166      309.11403         0.25362E+01    0.25362E+01    0
    4   13         7   10        0.30159           31.11892       36.88557         0.34086E+01    0.34086E+01    0
    4   16         8   12       -0.87743           22.87132        9.90324         0.60444E+01    0.60444E+01    0
    4   19         9   14       -1.26646           14.30761       -4.56302         0.82714E+01    0.73977E+01    1
    4   22        10   16       -0.00654          -51.10856      -51.17939         0.12212E+02    0.12212E+02    0
    4   28        12   20        1.30455           -8.33868        6.22817         0.17598E+02    0.15280E+02    1
    4   30        14   24       -0.09662          -11.25770      -12.26795         0.12858E+02    0.12858E+02    0
    4   33        15   26        0.76944          -42.26306      -31.38443         0.10914E+02    0.10914E+02    0
    4   36        16   28        0.06941          -31.73427      -29.39681         0.51714E+01    0.51714E+01    0
    4   45        19   30       -1.46264           27.05754        8.71619         0.37332E+02    0.28910E+02    1
    5    8         6    7        0.09828         1749.41630     1752.37949         0.92372E+00    0.67988E+00    1
    5   14         8   11       -1.05617           28.56365        8.14404         0.48502E+01    0.34144E+01    1
    5   17         9   13        0.00197           41.84291       41.91720         0.23353E+01    0.23353E+01    0
    5   20        10   15        0.11013          -95.62972      -92.06438         0.33975E+01    0.33975E+01    0
    5   23        11   17       -1.23042           27.33330      -24.73303         0.33649E+01    0.30976E+01    1
    5   26        12   19        0.67439          -24.66688       -4.53582         0.50618E+01    0.50618E+01    0
    5   31        15   25       -0.16028          -19.39212      -20.45169         0.20368E+02    0.20368E+02    0
    5   34        16   27       -1.24775          -33.78113      -48.31387         0.14480E+02    0.13144E+02    1
    5   43        19   29        0.31529          -11.18020       -7.77451         0.31913E+02    0.31913E+02    0
    5   46        20   31        1.62964          -13.83292        9.37528         0.36648E+02    0.25473E+02    1
    6    9         7    8       -0.13432         1039.91723     1036.76056         0.10425E+01    0.97242E+00    1
    6   15         9   12        1.37258           24.51207       75.03733         0.22984E+01    0.18268E+01    1
    6   18        10   14       -1.57510           -9.28401      -46.77041         0.51755E+01    0.37218E+01    1
    6   24        12   18       -0.23449           33.47203       24.27144         0.33096E+01    0.33096E+01    0
    6   27        13   20        0.07261          -73.77702      -72.66547         0.98060E+01    0.98060E+01    0
    6   29        15   24       -0.36649          -22.04056      -27.92807         0.70629E+01    0.70629E+01    0
    6   32        16   26        0.34578          -49.10614      -42.40130         0.68576E+01    0.68576E+01    0
    6   44        20   30       -0.02160           11.55031       11.23690         0.23845E+02    0.23845E+02    0
    6   47        21   32        0.67814            4.16421       16.91879         0.19386E+02    0.19386E+02    0
    7   16        10   13       -0.52937          176.60979      158.46616         0.19009E+01    0.19009E+01    0
    7   22        12   17        0.04497           24.95083       25.60181         0.74156E+01    0.74156E+01    0
    7   25        13   19        1.06971          -60.83575      -39.66752         0.64929E+01    0.64929E+01    0
    7   28        14   21       -1.15956          -18.80127      -20.94656         0.81556E+02    0.79666E+02    1
    7   30        16   25       -0.93012            8.45222       -1.45940         0.10542E+02    0.10542E+02    0
    7   33        17   27       -1.86592           -0.11964      -11.48231         0.35730E+02    0.21689E+02    1
    7   42        20   29       -0.71953           31.10559       21.37875         0.24117E+02    0.24117E+02    0
    7   45        21   31        1.09182           10.83456       23.01791         0.30808E+02    0.30808E+02    0
    7   48        22   33       -1.19042           23.62504       21.40034         0.20507E+03    0.19513E+03    1
    8   14        10   12       -0.87821          -10.54617      -24.97253         0.26510E+01    0.26487E+01    1
    8   20        12   16        0.34374           -3.45483        3.75526         0.40316E+01    0.40316E+01    0
    8   26        14   20       -0.14147          -71.86138      -73.80475         0.92723E+01    0.92723E+01    0
    8   31        17   26        0.20443          -52.09343      -49.39590         0.84289E+01    0.84289E+01    0
    8   43        21   30        0.07279           -4.40249       -3.23140         0.20390E+02    0.20390E+02    0
    9   18        12   15        0.42142           88.84883       92.78387         0.67746E+01    0.67746E+01    0
    9   21        13   17       -0.28601          -73.83242      -78.42956         0.53269E+01    0.53269E+01    0
    9   24        14   19        0.29178          -72.49100      -66.02211         0.48427E+01    0.48427E+01    0
    9   27        15   21       -1.43244          -26.86400      -46.09807         0.11944E+02    0.94443E+01    1
    9   29        17   25        0.78938          -28.23765      -20.86757         0.97519E+01    0.97519E+01    0
    9   32        18   27       -1.54254           30.37324      -14.06545         0.52298E+01    0.38402E+01    1
