    P+   P-        C+   C-  Normalised_Error  Observed_Rho_a  Calculated_Rho_a  Original_Weight  Final_Weight    C
    2    8         4    6        0.57068          595.32906      621.14132         0.12020E+01    0.11071E+01    1
    2   20         8   14       -1.44563          229.14697      153.61133         0.39684E+01    0.26309E+01    1
    2   23         9   16       -1.79972          183.04182      111.47863         0.18764E+02    0.39871E+01    1
    2   26        10   18       -1.76763          261.89749       85.10086         0.25832E+01    0.17923E+01    1
    2   31        13   24       -1.62316           24.68954        3.74490         0.20025E+02    0.12266E+02    1
    2   34        14   26        0.29954          -18.58976      -13.46345         0.10305E+02    0.10305E+02    0
    2   37        15   28        0.04886           14.23589       18.04054         0.25303E+01    0.25303E+01    0
    3    6         4    5       -0.55254         1272.80393     1268.65134         0.61116E+01    0.28360E+01    1
    3    9         5    7       -0.30160         1052.14321     1050.44735         0.10756E+02    0.75516E+01    1
    3   12         6    9        0.14632          293.01114      293.46258         0.28749E+02    0.20222E+02    1
    3   15         7   11       -1.67730          -37.63520      -81.12237         0.63617E+01    0.33857E+01    1
    3   18         8   13        1.99276           26.87218       52.00075         0.13734E+02    0.87712E+01    1
    3   21         9   15       -0.32291           19.00300       13.51205         0.77895E+01    0.77895E+01    0
    3   24        10   17       -1.16006           -0.90864      -17.96871         0.15072E+02    0.10483E+02    1
    3   27        11   19       -0.26553           -1.01742       -7.36677         0.72562E+01    0.72562E+01    0
    3   29        13   23       -1.34527          -14.90708      -29.93323         0.12615E+02    0.12217E+02    1
    3   32        14   25       -0.58095           -4.29185      -10.66774         0.14174E+02    0.14174E+02    0
    4    7         5    6        0.17929         2310.54481     2312.97307         0.18747E+01    0.17427E+01    1
    4   10         6    8       -1.01444          398.86685      396.64488         0.64873E+02    0.19004E+02    1
    4   13         7   10       -0.09999          -82.01693      -82.40479         0.16803E+02    0.16803E+02    0
    4   16         8   12       -1.08769           -0.52269       -5.68677         0.42443E+02    0.18816E+02    1
    4   19         9   14       -0.46438           -1.49117       -8.51716         0.78981E+01    0.72855E+01    1
    4   22        10   16        0.61343          -57.06716      -43.43389         0.59503E+01    0.59503E+01    0
    4   28        12   20       -0.88575          -28.31075      -39.21775         0.13856E+02    0.13856E+02    0
    4   30        14   24       -1.81337          -14.72186      -30.30088         0.21581E+02    0.15648E+02    1
    4   33        15   26        1.56566          -44.07863      -26.90284         0.16202E+02    0.14066E+02    1
    4   36        16   28        0.25165          -32.07948      -26.46539         0.78067E+01    0.78067E+01    0
    4   45        19   30       -1.13654           24.68397       -9.19679         0.12161E+02    0.12161E+02    0
    5    8         6    7       -0.08450         2164.07011     2160.95043         0.55524E+00    0.55524E+00    0
    5   14         8   11       -1.42892          -11.15363      -47.48235         0.32732E+01    0.25965E+01    1
    5   17         9   13       -0.48526           -3.01555       -6.12926         0.14320E+02    0.13735E+02    1
    5   20        10   15        0.84311         -127.41489     -101.52763         0.35822E+01    0.35822E+01    0
    5   23        11   17       -0.62794          -74.61437      -83.94828         0.88182E+01    0.88182E+01    0
    5   26        12   19        0.01925          -57.31838      -57.27613         0.81501E+02    0.68836E+02    1
    5   31        15   25        0.45277          -36.11397      -35.09020         0.59549E+02    0.59549E+02    0
    5   34        16   27       -0.05712          -39.75052      -40.64847         0.97382E+01    0.97382E+01    0
    5   43        19   29       -1.15827           -8.69513      -14.23288         0.74135E+02    0.72102E+02    1
    5   46        20   31        0.69620           -9.52352       -8.90397         0.62077E+03    0.40764E+03    1
    6    9         7    8       -0.21487         1175.27831     1174.08503         0.41150E+01    0.41150E+01    0
    6   15         9   12        2.46337           -8.40556       59.74036         0.11590E+02    0.24308E+01    1
    6   18        10   14       -0.40879          -53.11029      -53.49126         0.11698E+03    0.95046E+02    1
    6   24        12   18       -0.36647          -34.58560      -54.19683         0.24266E+01    0.24266E+01    0
    6   27        13   20       -0.36944          -95.64120     -103.44346         0.71084E+01    0.71084E+01    0
    6   29        15   24       -0.40628          -30.89401      -34.55544         0.12590E+02    0.12590E+02    0
    6   32        16   26        2.26630          -46.83225      -34.09702         0.51693E+02    0.23663E+02    1
