    P+   P-        C+   C-  Normalised_Error  Observed_Rho_a  Calculated_Rho_a  Original_Weight  Final_Weight    C
    2    8         4    6       -0.17051          987.15167      983.51456         0.23476E+01    0.23476E+01    0
    2   20         8   14        1.22679          215.92548      235.31898         0.88553E+01    0.86959E+01    1
    2   23         9   16       -1.72488          199.47246      175.75848         0.25562E+02    0.11532E+02    1
    2   26        10   18        0.80145          162.25828      183.57948         0.67386E+01    0.67386E+01    0
    2   31        13   24       -0.14340           65.55264       64.87261         0.33375E+02    0.33375E+02    0
    2   34        14   26        1.27170           23.64760       28.05946         0.53664E+02    0.50836E+02    1
    2   37        15   28        0.29727           28.95474       32.77769         0.15320E+02    0.15320E+02    0
    3    6         4    5       -0.02044          851.32528      850.91725         0.10676E+01    0.10676E+01    0
    3    9         5    7        0.07378          745.77488      746.71395         0.33361E+01    0.33361E+01    0
    3   12         6    9        0.22997          451.70087      453.48462         0.80438E+01    0.80438E+01    0
    3   15         7   11       -1.81420          229.81115      194.05929         0.94010E+01    0.44544E+01    1
    3   18         8   13        1.14248          170.89515      205.39330         0.36629E+01    0.36629E+01    0
    3   21         9   15       -0.61589          109.66311      108.90482         0.10758E+03    0.10758E+03    0
    3   24        10   17       -0.19589          117.80456      107.25733         0.28635E+01    0.28635E+01    0
    3   27        11   19       -0.94303          112.67282       90.61217         0.74172E+01    0.74172E+01    0
    3   29        13   23        0.45176           40.31585       41.14882         0.74007E+02    0.74007E+02    0
    3   32        14   25        0.24216           36.08655       37.49641         0.26719E+02    0.26719E+02    0
    4    7         5    6       -0.14421         1361.17929     1358.02769         0.10800E+01    0.10800E+01    0
    4   10         6    8       -0.49388          608.15965      602.34409         0.35350E+01    0.35350E+01    0
    4   13         7   10        1.41462          195.98816      212.96128         0.75576E+01    0.54321E+01    1
    4   16         8   12       -0.35269          236.84614      234.49136         0.13380E+02    0.13380E+02    0
    4   19         9   14        0.91374          139.66290      144.45750         0.21007E+02    0.21007E+02    0
    4   22        10   16       -0.96810          101.20999      100.14355         0.15178E+03    0.12005E+03    1
    4   28        12   20       -0.56686           49.67852       48.39897         0.77045E+02    0.75586E+02    1
    4   30        14   24       -1.67125           37.32435       30.95716         0.97204E+02    0.35287E+02    1
    4   33        15   26        1.98934            3.33641        8.22230         0.12737E+03    0.62826E+02    1
    4   36        16   28        0.00508            1.81654        1.96952         0.57837E+01    0.57837E+01    0
    4   45        19   30       -1.47626           30.29918        5.64875         0.26605E+02    0.21711E+02    1
    5    8         6    7        0.12787         1173.93351     1176.19655         0.14022E+01    0.11582E+01    1
    5   14         8   11       -1.64357          272.06002      235.23905         0.72667E+01    0.29466E+01    1
    5   17         9   13       -0.76884          250.62846      245.50308         0.17815E+02    0.13221E+02    1
    5   20        10   15        1.45541          109.65871      130.47909         0.93307E+01    0.76887E+01    1
    5   23        11   17       -0.66823          125.41965       88.48212         0.23713E+01    0.23713E+01    0
    5   26        12   19        0.18883           49.22559       52.59172         0.84760E+01    0.84760E+01    0
    5   31        15   25       -0.61777           42.76227       42.32739         0.23027E+03    0.19127E+03    1
    5   34        16   27       -0.45124           15.18938        7.95334         0.95469E+01    0.95469E+01    0
    5   43        19   29       -1.50728           14.75467        2.26600         0.58080E+02    0.41605E+02    1
    5   46        20   31        1.05120           -6.79620        2.62199         0.40489E+02    0.40489E+02    0
    6    9         7    8       -0.01533          943.43523      943.18902         0.14225E+01    0.14225E+01    0
    6   15         9   12        0.65623          334.90981      341.20418         0.85948E+01    0.70108E+01    1
    6   18        10   14        1.22675          199.84155      229.52792         0.37273E+01    0.36603E+01    1
    6   24        12   18        0.20202           79.69625       82.80473         0.84394E+01    0.84394E+01    0
    6   27        13   20        0.00822           16.58567       16.60654         0.59098E+02    0.59098E+02    0
    6   29        15   24       -1.58433           39.53773       28.62792         0.22432E+02    0.16477E+02    1
    6   32        16   26        0.51335           11.87948       20.36618         0.80432E+01    0.80432E+01    0
    6   44        20   30       -1.50209            7.67528        5.29132         0.27187E+03    0.21805E+03    1
    6   47        21   32       -1.81880            4.84150        3.84028         0.10000E+04    0.66236E+03    1
    7   16        10   13       -0.15885          440.98772      439.84089         0.10208E+02    0.90245E+01    1
    7   22        12   17       -0.41516          102.95390       85.55215         0.25611E+01    0.25611E+01    0
    7   25        13   19        0.72457           39.68934       52.70821         0.71510E+01    0.71510E+01    0
    7   28        14   21        0.53821           48.40074       50.12554         0.45992E+02    0.45992E+02    0
    7   30        16   25       -0.08437           66.29148       65.14409         0.82608E+01    0.82608E+01    0
    7   33        17   27       -1.38717           57.17731       53.82046         0.62847E+02    0.54580E+02    1
