    P+   P-        C+   C-  Normalised_Error  Observed_Rho_a  Calculated_Rho_a  Original_Weight  Final_Weight    C
    8   11         9   10       -1.16272         6372.99199     6372.43616         0.28597E+05    0.13331E+05    1
    8   14        10   12       -0.52866         6394.23229     6393.86685         0.10780E+05    0.92502E+04    1
    8   17        11   14       -0.87261         4210.31061     4209.21686         0.41570E+04    0.33586E+04    1
    8   20        12   16        0.58396         2928.97463     2929.80222         0.20670E+04    0.20670E+04    0
    8   23        13   18        0.61199         3001.64423     3002.67713         0.17788E+04    0.17788E+04    0
    8   26        14   20       -1.64070         2845.48765     2839.67359         0.13545E+04    0.80216E+03    1
    8   31        17   26        0.79884         2057.32276     2058.72043         0.11763E+04    0.11763E+04    0
    8   34        18   28        0.19787         1836.79446     1837.24392         0.84468E+03    0.80874E+03    1
    8   43        21   30       -0.27028         1902.60538     1901.18116         0.36093E+03    0.36093E+03    0
    8   46        22   32       -0.03327         1841.18197     1840.99059         0.32005E+03    0.32005E+03    0
    8   49        23   34        0.68381         1760.63817     1765.27211         0.26015E+03    0.26015E+03    0
    9   12        10   11       -0.61376         7150.67281     7150.18784         0.32448E+05    0.90493E+04    1
    9   15        11   13       -0.13963         5547.75747     5547.66762         0.86213E+04    0.86213E+04    0
    9   18        12   15       -0.96400         3167.49768     3166.46994         0.31599E+04    0.29706E+04    1
    9   21        13   17        0.16978         3403.63421     3403.88709         0.22853E+04    0.22853E+04    0
    9   24        14   19        0.43891         3272.65289     3273.48346         0.17296E+04    0.17296E+04    0
    9   27        15   21       -1.25904         2977.54518     2973.56544         0.14268E+04    0.94135E+03    1
    9   29        17   25       -1.46803         2196.85987     2194.29246         0.13976E+04    0.12554E+04    1
    9   32        18   27        0.22394         1977.70551     1978.11939         0.10702E+04    0.10702E+04    0
    9   41        21   29        0.28008         1928.33594     1929.71967         0.39046E+03    0.39046E+03    0
    9   44        22   31        0.90289         1838.19512     1842.91915         0.35178E+03    0.35178E+03    0
    9   47        23   33        0.77903         1753.34945     1758.28382         0.27721E+03    0.27721E+03    0
    9   50        24   35        1.32472         1715.71040     1725.44973         0.23878E+03    0.23403E+03    1
   10   13        11   12       -0.53620         8030.62920     8029.93401         0.36737E+05    0.61938E+04    1
   10   16        12   14       -0.07858         3460.60961     3460.53888         0.49948E+04    0.38446E+04    1
   10   19        13   16       -0.79598         3244.01159     3243.20346         0.32831E+04    0.31948E+04    1
   10   22        14   18        0.09306         3411.60223     3411.76103         0.24293E+04    0.19994E+04    1
   10   25        15   20       -0.43980         3176.83945     3176.08251         0.18456E+04    0.18456E+04    0
   10   28        16   22        1.59512         2787.09685     2791.00930         0.13323E+04    0.11371E+04    1
   10   30        18   26        0.75423         2076.92070     2078.09763         0.13314E+04    0.13314E+04    0
   10   33        19   28       -0.02754         1781.04317     1780.99130         0.94575E+03    0.94575E+03    0
   10   42        22   30       -0.07444         1820.57911     1820.16417         0.32658E+03    0.32658E+03    0
   10   45        23   32       -1.40694         1724.30607     1715.73572         0.30058E+03    0.28236E+03    1
   10   48        24   34        1.47594         1708.82453     1718.26095         0.28616E+03    0.26801E+03    1
   10   51        25   36       -0.44149         1612.33677     1609.64651         0.26437E+03    0.26437E+03    0
   11   14        12   13       -0.29485         4322.41793     4322.25911         0.16945E+05    0.80245E+04    1
   11   17        13   15       -0.29238         3592.03911     3591.82632         0.54655E+04    0.49354E+04    1
   11   20        14   17       -2.43688         3907.28669     3889.75733         0.37367E+04    0.54196E+03    1
   11   23        15   19       -0.48579         3751.56900     3750.65893         0.27965E+04    0.20023E+04    1
   11   26        16   21       -0.15998         3119.15235     3118.80916         0.17818E+04    0.14539E+04    1
   11   31        19   27       -0.52582         2086.92794     2086.19277         0.14924E+04    0.14924E+04    0
   11   40        22   29       -0.24227         1853.41391     1852.21191         0.37344E+03    0.37344E+03    0
   11   43        23   31       -1.02595         1719.36185     1714.21472         0.34220E+03    0.34220E+03    0
   11   46        24   33       -0.01240         1714.23833     1714.17040         0.31279E+03    0.31279E+03    0
   11   49        25   35        0.93364         1588.70030     1594.73801         0.24613E+03    0.24613E+03    0
